key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,1.9623,space,19.936,4,12.8289,4.025926039,3.6369,0,0,0,0,1,stim/pof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,16.6209,3.981481595,3.0752,0,1,1,3,1,stim/p_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,7,6.7802,2.992592706,1.5776,0,2,2,1,1,stim/pief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,3.5127,4.029629856,1.1139,0,3,3,2,1,stim/peuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,6.3127,4,1.0188,0,4,4,6,1,stim/feuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,5,8.9177,1.992592706,0.7677,0,5,5,4,1,stim/fof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,7,3.081,4.977777778,1.8279,0,6,6,5,1,stim/fief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.6483,4.977777778,0.9434,0,7,7,7,1,stim/f_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,6.4275,3.948148261,1.5292,1,0,8,3,1,stim/p_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.8042,4.003703817,0.7002,1,1,9,7,1,stim/f_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,4,6.9937,2.981481595,0.9565,1,2,10,0,1,stim/pof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,3,5.7128,3.970370483,0.9867,1,3,11,5,1,stim/fief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,9.641,2.985185411,1.0688,1,4,12,2,1,stim/peuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,6.0502,3.011111111,0.9473,1,5,13,4,1,stim/fof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,7,5.9,3.996296522,0.7657,1,6,14,1,1,stim/pief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.9172,2.992592706,1.2982,1,7,15,6,1,stim/feuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,5,7.794,3,0.6457,2,0,16,0,1,stim/pof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,2,8.8092,2.996296522,1.0653,2,1,17,4,1,stim/fof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,7,5.4059,4.033333333,0.5772,2,2,18,1,1,stim/pief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.6284,4.03703715,0.9049,2,3,19,3,1,stim/p_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,5.3132,4.077777778,0.9348,2,4,20,6,1,stim/feuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.7806,3.996296522,0.8754,2,5,21,7,1,stim/f_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,4,7.2777,1.970370483,1.3159,2,6,22,2,1,stim/peuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,3,3.7139,3.985185411,0.6574,2,7,23,5,1,stim/fief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,2.8978,3.948148261,0.8933,3,0,24,3,1,stim/p_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,5,4.1868,4.007407633,0.6663,3,1,25,0,1,stim/pof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,7,7.182,2.981481595,0.7985,3,2,26,1,1,stim/pief_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,5.5623,4,0.6324,3,3,27,2,1,stim/peuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,1,1.6311,4.040740967,0.9903,3,4,28,7,1,stim/f_schwa_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,2,2.663,3.011111111,0.9052,3,5,29,4,1,stim/fof_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
,,,,6,4.2636,4,1.3976,3,6,30,6,1,stim/feuf_g.wav,558a9729fdf99b6567d005ab,001,2022-03-17_08h37.07.177,task,2021.2.3,Win32,60.94216588,,,,,,,,,,,,,
