key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,76.1621,space,52.9187,7,19.0501,5,7.2472,0,0,0,5,1,stim/fief_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,4,6.1403,4.015816346,4.447,0,1,1,0,1,stim/pof_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,7,9.0636,5,2.9307,0,2,2,1,1,stim/pief_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,6,12.154,4.990837816,5.2811,0,3,3,2,1,stim/peuf_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,2,7.9808,4.009451112,0.9843,0,4,4,7,1,stim/f_schwa_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,4,15.3888,4.028547059,0.8718,0,5,5,4,1,stim/fof_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,4,4.6323,4.057478943,0.7813,0,6,6,6,1,stim/feuf_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,1,10.7795,4.998360277,2.4586,0,7,7,3,1,stim/p_schwa_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,6,8.3467,3.995563661,1.1453,1,0,8,6,1,stim/feuf_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
,,,,6,7.3712,3.008969438,1.1687,1,1,9,2,1,stim/peuf_g.wav,5a6d5ae19d65ec00017e9bae,001,2022-03-19_12h43.56.346,task,2021.2.3,Linux x86_64,59.9268892,,,,,,,,,,,,,
