key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,12.901,space,22.943,6,13.069,5,32.008,0,0,0,4,1,stim/fof_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,6,15.158,4.017777778,5.044,0,1,1,2,1,stim/peuf_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,1,15.982,2.995555556,3.732,0,2,2,0,1,stim/pof_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,3,23.228,4.022222222,2.293,0,3,3,5,1,stim/fief_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,7,8.187,2.524444444,2.04,0,4,4,1,1,stim/pief_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,2,48.884,2.186666667,2.207,0,5,5,7,1,stim/f_schwa_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,7,8.229,3.04,1.539,0,6,6,6,1,stim/feuf_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,1,4.738,3.506666667,1.681,0,7,7,3,1,stim/p_schwa_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,6,3.488,3.657777778,1.953,1,0,8,2,1,stim/peuf_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
,,,,1,19.768,3.288888889,1.15,1,1,9,3,1,stim/p_schwa_g.wav,60fc741369c95ce0ee91b20e,001,2022-03-18_16h39.02.655,task,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,
