key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,1.9676,space,13.6261,1,17.9785,4.007973565,8.3914,0,0,0,3,1,stim/p_schwa_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,6,4.9531,3.983096087,4.4012,0,1,1,4,1,stim/fof_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,6,7.0249,3.505966187,2.303,0,2,2,2,1,stim/peuf_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,7,5.3828,4.192163538,1.9603,0,3,3,5,1,stim/fief_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,4,4.0016,3.078845836,1.3555,0,4,4,0,1,stim/pof_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,7,8.7688,3.861011646,1.4123,0,5,5,1,1,stim/pief_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,6,4.5359,3.414636683,1.596,0,6,6,6,1,stim/feuf_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,2,2.6047,2.92338562,3.9045,0,7,7,7,1,stim/f_schwa_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,2,1.6902,2.839313366,1.2111,1,0,8,7,1,stim/f_schwa_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
,,,,1,5.3765,3.340864111,0.9592,1,1,9,3,1,stim/p_schwa_g.wav,6107397d50df8745777f484e,001,2022-03-19_21h19.59.916,task,2021.2.3,Linux x86_64,60.03842459,,,,,,,,,,,,,
