key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,5.1098,space,13.599,4,25.3137,4.029564372,9.2541,0,0,0,4,1,stim/fof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,15.7216,4.011073519,2.3392,0,1,1,0,1,stim/pof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,5.692,4.979977908,2.2934,0,2,2,1,1,stim/pief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,1,5.4002,5,3.2355,0,3,3,7,1,stim/f_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,10.9159,4.022167932,1.2031,0,4,4,2,1,stim/peuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,6.6664,3.988885192,1.7357,0,5,5,6,1,stim/feuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,4.2552,4.972581467,2.9704,0,6,6,5,1,stim/fief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,5,13.6393,4.98367588,2.2409,0,7,7,3,1,stim/p_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,1,5.487,4.998468264,1.714,1,0,8,7,1,stim/f_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,5.1701,3.996281135,3.0063,1,1,9,2,1,stim/peuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,9.4842,4.976278943,2.4928,1,2,10,1,1,stim/pief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,5,5.768,4.994770292,1.6795,1,3,11,3,1,stim/p_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,3.2729,5,1.6269,1,4,12,6,1,stim/feuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,4.1342,3.985186723,1.9943,1,5,13,4,1,stim/fof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,10.7004,3.999978611,0.9131,1,6,14,0,1,stim/pof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,2.3175,4.968883496,1.0971,1,7,15,5,1,stim/fief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,5,3.5009,5,2.4807,2,0,16,3,1,stim/p_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,3.8339,4.022167932,1.8983,2,1,17,2,1,stim/peuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,5,3.1343,5,1.6823,2,2,18,7,1,stim/f_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,2.1343,4.98367588,1.2819,2,3,19,5,1,stim/fief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,2.7005,5,1.2329,2,4,20,1,1,stim/pief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,11.5341,3.977790779,1.3993,2,5,21,0,1,stim/pof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,6.7839,4.003677576,1.0997,2,6,22,6,1,stim/feuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,7.1671,4.025865904,0.9165,2,7,23,4,1,stim/fof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,1.6508,3.992583163,1.8162,3,0,24,4,1,stim/fof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,2.334,4.976278943,1.3664,3,1,25,5,1,stim/fief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,4.5677,3.981488751,1.2328,3,2,26,6,1,stim/feuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,7.9171,3.977790779,0.9495,3,3,27,2,1,stim/peuf_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,5,3.4679,4.979977908,2.2157,3,4,28,7,1,stim/f_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,4,10.9342,4.003677576,0.7658,3,5,29,0,1,stim/pof_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,6,5.1504,3.016282831,3.3665,3,6,30,3,1,stim/p_schwa_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,3.2676,4.976278943,0.8321,3,7,31,1,1,stim/pief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
,,,,7,1.4839,5,0.7125,4,0,32,5,1,stim/fief_g.wav,61094c7cb8c79b6a734c2d0c,001,2022-03-13_22h07.29.237,task,2021.2.3,Win32,60.15037594,,,,,,,,,,,,,
