key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,4.1142,space,32.0161,3,17.049,4.018839136,16.3163,0,0,0,5,1,stim/fief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,15.053,2.320122252,3.1208,0,1,1,1,1,stim/pief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,4.645,3.161688266,2.0357,0,2,2,2,1,stim/peuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,5.9854,2.382460429,1.661,0,3,3,7,1,stim/f_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,1,7.2342,1.431802382,1.7604,0,4,4,3,1,stim/p_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,5,5.7182,1.639596424,1.729,0,5,5,4,1,stim/fof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,5,4.0816,1.857780311,2.835,0,6,6,0,1,stim/pof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,1,4.4399,1.572063414,1.4429,0,7,7,6,1,stim/feuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,5,5.1221,2.875971547,1.6489,1,0,8,3,1,stim/p_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,4.9205,3.229221633,3.9344,1,1,9,0,1,stim/pof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,3.2675,3.234416288,1.9681,1,2,10,5,1,stim/fief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,1,2.4393,2.346096418,1.8816,1,3,11,7,1,stim/f_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,4.5511,3.540912696,1.7452,1,4,12,2,1,stim/peuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,5,7.4914,1.811026634,1.8586,1,5,13,4,1,stim/fof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,3.7975,3.514938352,1.9385,1,6,14,1,1,stim/pief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,3.4719,3.748706739,1.5639,1,7,15,6,1,stim/feuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,3.1206,4.205853846,2.7018,2,0,16,1,1,stim/pief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,3.2743,3.650004729,2.9865,2,1,17,2,1,stim/peuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,1.8152,3.317533976,2.9843,2,2,18,6,1,stim/feuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,2.2106,2.979868568,2.4412,2,3,19,4,1,stim/fof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,2.4013,2.77726918,2.0862,2,4,20,0,1,stim/pof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,5.0675,3.270780299,1.7498,2,5,21,7,1,stim/f_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,3.5458,2.309732407,2.2811,2,6,22,5,1,stim/fief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,4.5339,2.579864805,1.4808,2,7,23,3,1,stim/p_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,3.0203,3.416236342,1.937,3,0,24,0,1,stim/pof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,2.6331,3.44221033,1.1775,3,1,25,5,1,stim/fief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,3.3324,2.647397815,1.6676,3,2,26,6,1,stim/feuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,5,3.7824,1.925313321,1.6979,3,3,27,4,1,stim/fof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,3.8478,3.437015675,2.8888,3,4,28,2,1,stim/peuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,3.2424,3.888967771,2.766,3,5,29,1,1,stim/pief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,2.0871,4.07598248,1.7533,3,6,30,7,1,stim/f_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,2.783,4.07598248,1.2575,3,7,31,3,1,stim/p_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,2.7154,4.309750867,1.4117,4,0,32,0,1,stim/pof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,3,2.3157,4.309750867,2.1191,4,1,33,5,1,stim/fief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,1.5704,4.439622233,1.4904,4,2,34,4,1,stim/fof_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,2.0996,2.340901584,2.4614,4,3,35,6,1,stim/feuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,4.2399,3.655199384,1.9951,4,4,36,7,1,stim/f_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,2,3.7312,3.655199384,1.7191,4,5,37,3,1,stim/p_schwa_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,7,8.2452,3.675978717,1.6198,4,6,38,1,1,stim/pief_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,4,4.1492,3.421430997,2.0781,4,7,39,2,1,stim/peuf_g.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,,,,,,,,,,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,space,4.1552,2,5.475,1.774662623,2.0274,0,0,0,3,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,,001,2022-03-18_14h15.05.470,task,2021.2.3,Win32,69.03216899,,,4,5.2135,1.774662623,1.5185,0,1,1,2,1,,
