key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect
space,29.509,6,25.852,3.251851852,7.643,0,0,0,0,1,stim/f_schwa_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,1,6.857,3.988888889,3.3,0,1,1,5,1,stim/paf_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,2,9.493,4.022222222,1.153,0,2,2,7,1,stim/pof_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,2,13.791,3.274074074,1.46,0,3,3,3,1,stim/fof_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,4,8.628,2.603703704,2.33,0,4,4,4,1,stim/p_schwa_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,3,3.294,4.222222222,1.852,0,5,5,2,1,stim/fif_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,3,2.177,4.655555556,1.36,0,6,6,6,1,stim/piep_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,1,3.029,3.848148148,2.085,0,7,7,1,1,stim/faf_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,1,3.777,3.877777778,1.294,1,0,8,1,1,stim/faf_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,6,8.892,2.988888889,1.251,1,1,9,4,1,stim/p_schwa_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
,,5,10.806,3.185185185,1.686,1,2,10,7,1,stim/pof_g.wav,,001,2022-03-09_15h58.04.806,vct_new,2021.2.3,Linux x86_64,59.95203837,,,,,,,,,,,,
