check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,2.0353,space,19.7442,2,5.1154,2.971512087,6.306,0,0,0,6,1,stim/feuf_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,2,7.1503,1.928414837,3.2618,0,1,1,7,1,stim/f_schwa_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,4,4.4783,2.826880841,1.891,0,2,2,4,1,stim/fof_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,2,6.3329,1.146091983,0.8258,0,3,3,3,1,stim/p_schwa_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,4,4.7308,2.929875657,0.1829,0,4,4,0,1,stim/pof_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,2,2.8199,1.910883893,0.8004,0,5,5,2,1,stim/peuf_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,3,2.8714,1.954711503,0.8753,0,6,6,5,1,stim/fief_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,3,4.1453,1.080350568,0.7039,0,7,7,1,1,stim/pief_g.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,,,,,,,,,
,,,,,,,,,,,,,stim/peuf_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,space,1.9674,2,3.9729,1.95690285,0.8634,0,0,0,2,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,2,3.5179,1.937180392,0.8539,0,1,1,3,1
,,,,,,,,,,,,,stim/fif_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,3,2.4171,1.069393666,1.0538,0,2,2,5,1
,,,,,,,,,,,,,stim/fof_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,2,2.8255,2.927684477,1.218,0,3,3,4,1
,,,,,,,,,,,,,stim/feuf_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,2,1.9242,2.789627439,0.7305,0,4,4,6,1
,,,,,,,,,,,,,stim/pif_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,3,3.4459,2.01387871,1.4404,0,5,5,1,1
,,,,,,,,,,,,,stim/pof_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,2,3.3618,2.018261404,0.7637,0,6,6,0,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,5e6c0b0fede0271d08d1a3cd,001,2022-03-29_19h24.00.558,exp_mono_eng,2021.2.3,Win32,60.54001695,,,2,2.8332,4.014609003,0.7567,0,7,7,7,1
