check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,3.7824,space,23.7246,1,8.7296,4.917776043,6.978,0,0,0,3,1,stim/p_schwa_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,1,7.0462,4.960254622,3.6199,0,1,1,7,1,stim/f_schwa_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,4,7.9519,4.952758429,1.848,0,2,2,2,1,stim/peuf_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,4,4.1298,4.945262236,2.3985,0,3,3,6,1,stim/feuf_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,2,4.9333,4.970249393,0.885,0,4,4,4,1,stim/fof_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,3,3.914,4.975247007,0.9603,0,5,5,1,1,stim/pief_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,3,3.2903,4.9827432,0.6865,0,6,6,5,1,stim/fief_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,4,7.7468,4.970249393,0.867,0,7,7,0,1,stim/pof_g.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,,,,,,,,,
,,,,,,,,,,,,,stim/feuf_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,space,3.3635,4,8.1673,3.965759547,7.2721,0,0,0,6,1
,,,,,,,,,,,,,stim/fof_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,1,4.2045,4.990239393,4.3535,0,1,1,4,1
,,,,,,,,,,,,,stim/fif_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,3,4.6206,3.011244244,1.8108,0,2,2,5,1
,,,,,,,,,,,,,stim/peuf_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,4,5.7537,3.99324574,1.8105,0,3,3,2,1
,,,,,,,,,,,,,stim/pof_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,1,2.8299,4.9627532,4.1746,0,4,4,0,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,1,5.9644,3.188654066,2.4488,0,5,5,7,1
,,,,,,,,,,,,,stim/pif_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,3,4.1834,3.53098036,1.5665,0,6,6,1,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,607dd7414afd1bb8bce441d9,001,2022-03-29_19h18.41.055,exp_mono_eng,2021.2.3,Win32,60.27364234,,,1,5.0519,4.023230511,1.4661,0,7,7,3,1
