check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,2.9618,space,21.0578,3,5.222,2.999496528,8.244,0,0,0,5,1,stim/fief_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,2,2.4672,3.969930556,2.0377,0,1,1,7,1,stim/f_schwa_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,4,7.7014,1.988993056,1.3105,0,2,2,6,1,stim/feuf_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,4,7.5251,1.988993056,0.9118,0,3,3,0,1,stim/pof_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,3,3.393,1.988993056,1.9116,0,4,4,1,1,stim/pief_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,2,4.1281,3.036788194,1.2444,0,5,5,4,1,stim/fof_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,4,8.6575,1.98,1.2951,0,6,6,2,1,stim/peuf_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,1,3.1176,1.98,1.4606,0,7,7,3,1,stim/p_schwa_g.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,,,,,,,,,,stim/pif_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,space,2.8376,3,3.0027,2.958836806,1.8544,0,0,0,1,1
,,,,,,,,,,,,,stim/fof_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,2,2.0305,3.002118056,1.6892,0,1,1,4,1
,,,,,,,,,,,,,stim/feuf_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,4,2.2731,2.081475694,1.6714,0,2,2,6,1
,,,,,,,,,,,,,stim/peuf_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,4,6.7331,2.247118056,1.6267,0,3,3,2,1
,,,,,,,,,,,,,stim/fif_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,3,3.7271,2.129930556,1.9791,0,4,4,5,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,1,3.5182,2.432673611,1.8614,0,5,5,3,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,1,2.0873,2.432673611,0.839,0,6,6,7,1
,,,,,,,,,,,,,stim/pof_f.wav,608349d97d46ab71fc6c7111,001,2022-03-29_19h17.51.896,exp_mono_eng,2021.2.3,MacIntel,59.99880002,,,1,3.0017,2.81453125,3.6272,0,7,7,0,1
