check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,2.9376,space,1.1798,4,2.712,4.003703704,0.6686,0,0,0,6,1,stim/feuf_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,2,2.6905,2,0.7741,0,1,1,4,1,stim/fof_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,3,3.1472,4.966666667,0.8093,0,2,2,1,1,stim/pief_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,2,4.0134,1.918518519,0.8446,0,3,3,0,1,stim/pof_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,3,2.2283,4.981481481,0.803,0,4,4,5,1,stim/fief_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,2,3.2109,1.018518519,1.6232,0,5,5,7,1,stim/f_schwa_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,4,4.1022,4,2.3289,0,6,6,2,1,stim/peuf_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,1,3.2964,4.848148148,0.4717,0,7,7,3,1,stim/p_schwa_g.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,,,,,,,,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,space,1.2689,2,4.0731,1.025925926,0.7472,0,0,0,3,1
,,,,,,,,,,,,,stim/fof_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,2,6.1248,2.033333333,0.8343,0,1,1,4,1
,,,,,,,,,,,,,stim/pof_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,1,3.63,4.003703704,3.3004,0,2,2,0,1
,,,,,,,,,,,,,stim/peuf_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,4,5.4852,1.981481481,1.3884,0,3,3,2,1
,,,,,,,,,,,,,stim/pif_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,4,3.2365,2.981481481,0.4761,0,4,4,1,1
,,,,,,,,,,,,,stim/fif_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,3,3.1796,2.940740741,2.838,0,5,5,5,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,2,3.1446,1.22962963,0.6435,0,6,6,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,6238ee2daa7e5fd5078c07f5,001,2022-03-29_19h10.33.200,exp_mono_eng,2021.2.3,Win32,143.8641922,,,4,2.5793,3.962962963,0.6113,0,7,7,6,1
