check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,3.2151,space,39.0579,7,9.7089,2.025926095,7.1278,0,0,0,3,1,stim/p_schwa_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,10.8394,3.929629573,1.6355,0,1,1,6,1,stim/feuf_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,5.1671,2.062963133,1.4375,0,2,2,1,1,stim/pief_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,6,4.8162,2.070370427,0.8319,0,3,3,0,1,stim/pof_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,2.5659,4.09629624,0.5562,0,4,4,5,1,stim/fief_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,6,84.982,2.06666678,2.7509,0,5,5,7,1,stim/f_schwa_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,5,7.7811,1.948148092,1.0469,0,6,6,2,1,stim/peuf_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,2.2023,2.974074187,1.0876,0,7,7,4,1,stim/fof_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,1.9698,2.944444444,0.6024,1,0,8,4,1,stim/fof_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
,,,,7,1.9518,4.118518688,0.4816,1,1,9,6,1,stim/feuf_g.wav,5c0048442213be0001c2d579,001,2022-03-29_14h26.24.609,exp_mono_sp,2021.2.3,Win32,59.95922773,,,,,,,,,,,
