check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,2.5109,space,447.1511,6,5.4539,4.016393443,2.0361,0,0,0,1,1,stim/pief_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,5,11.8223,4.016393443,3.1273,0,1,1,6,1,stim/feuf_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,7,2.9023,4.036065574,4.733,0,2,2,5,1,stim/fief_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,7,10.5546,4.036065574,2.5309,0,3,3,3,1,stim/p_schwa_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,6,6.1029,4.036065574,1.0508,0,4,4,4,1,stim/fof_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,7,4.3233,4.036065574,1.1578,0,5,5,7,1,stim/f_schwa_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,5,5.1243,2.986885246,2.2962,0,6,6,2,1,stim/peuf_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,6,6.3385,4.049180328,1.8059,0,7,7,0,1,stim/pof_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,6,3.3238,3.970491803,2.0927,1,0,8,6,1,stim/feuf_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
,,,,5,6.2481,2.081967213,2.048,1,1,9,0,1,stim/pof_g.wav,60f4ada8ac902f28300ab7e0,001,2022-03-29_15h27.47.812,exp_mono_sp,2021.2.3,Win32,59.64096141,,,,,,,,,,,
