check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,1.614,space,1.0565,7,4.6702,1.363732639,14.8537,0,0,0,7,1,stim/f_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,7.015,1.359461806,2.1009,0,1,1,3,1,stim/p_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,5.0716,2.031805556,2.3925,0,2,2,4,1,stim/fof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,3.3939,2.5075,2.5969,0,3,3,1,1,stim/pief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.9359,2.523871528,0.9209,0,4,4,2,1,stim/peuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.0981,2.527170139,0.8324,0,5,5,0,1,stim/pof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.3955,2.527170139,1.0729,0,6,6,6,1,stim/feuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.4357,3.467413194,0.8241,0,7,7,5,1,stim/fief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,2.618,2.512951389,1.4088,1,0,8,4,1,stim/fof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.0223,3.246684028,1.0997,1,1,9,5,1,stim/fief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.6771,1.589739583,1.8145,1,2,10,7,1,stim/f_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.5711,2.400642361,1.2264,1,3,11,1,1,stim/pief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,1.8411,2.400642361,2.1991,1,4,12,6,1,stim/feuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,7.6233,1.662222222,2.555,1,5,13,3,1,stim/p_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,10.2543,4.309166667,1.1965,1,6,14,0,1,stim/pof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,3.4187,3.426805556,1.2223,1,7,15,2,1,stim/peuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.788,2.516736111,0.9467,2,0,16,4,1,stim/fof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,5.5113,2.516736111,0.919,2,1,17,3,1,stim/p_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,1.7419,1.621440972,1.8128,2,2,18,7,1,stim/f_schwa_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.2699,1.621440972,0.9486,2,3,19,5,1,stim/fief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,5.775,4.598211806,2.4726,2,4,20,2,1,stim/peuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.1717,2.541232639,1.1928,2,5,21,6,1,stim/feuf_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,2.8073,1.630520833,1.2118,2,6,22,0,1,stim/pof_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.8765,1.562621528,0.7835,2,7,23,1,1,stim/pief_g.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,,,,,,,,,,stim/pif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,space,3.2922,7,3.013,1.507326389,1.7667,0,0,0,1,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,3.5205,1.270086806,1.026,0,1,1,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.3757,1.278697917,0.7732,0,2,2,6,1
,,,,,,,,,,,,,stim/fif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.9339,2.3953125,1.2306,0,3,3,5,1
,,,,,,,,,,,,,stim/pof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.8199,2.442413194,1.2269,0,4,4,0,1
,,,,,,,,,,,,,stim/fof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,1.8787,2.4434375,0.5968,0,5,5,4,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,5.5425,2.4434375,0.5269,0,6,6,3,1
,,,,,,,,,,,,,stim/peuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.8757,2.4434375,0.6909,0,7,7,2,1
,,,,,,,,,,,,,stim/peuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.2587,2.4434375,0.5623,1,0,8,2,1
,,,,,,,,,,,,,stim/pof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.6604,2.4434375,0.5702,1,1,9,0,1
,,,,,,,,,,,,,stim/fof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,1.7424,2.4434375,0.6279,1,2,10,4,1
,,,,,,,,,,,,,stim/pif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,2.7187,2.445590278,0.6544,1,3,11,1,1
,,,,,,,,,,,,,stim/fif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.8656,2.445590278,0.4873,1,4,12,5,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,8.2866,2.445590278,0.4278,1,5,13,3,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.2238,2.445590278,0.4163,1,6,14,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.0412,3.784670139,0.7525,1,7,15,6,1
,,,,,,,,,,,,,stim/pof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,3.7913,1.498072917,1.2458,2,0,16,0,1
,,,,,,,,,,,,,stim/pif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,2.5513,2.652899306,1.0712,2,1,17,1,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,3.5676,1.509375,0.7807,2,2,18,3,1
,,,,,,,,,,,,,stim/feuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,1.9696,2.494357639,0.8477,2,3,19,6,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,5.5003,1.334722222,0.9359,2,4,20,7,1
,,,,,,,,,,,,,stim/peuf_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.8784,2.574722222,1.732,2,5,21,2,1
,,,,,,,,,,,,,stim/fif_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.8984,2.576944444,0.592,2,6,22,5,1
,,,,,,,,,,,,,stim/fof_f.wav,613bce66b4c708c1dd29f038,001,2022-03-29_15h21.21.416,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.6919,2.576944444,0.4879,2,7,23,4,1
