check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,8.4136,space,18.9477,5,22.0178,1.026041667,13.9206,0,0,0,0,1,stim/pof_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,7,5.0692,2.989583333,7.1827,0,1,1,7,1,stim/f_schwa_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,6,5.9785,2.010416667,2.0643,0,2,2,6,1,stim/feuf_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,12.8647,1.973958333,2.0005,0,3,3,4,1,stim/fof_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,7.9336,1.979166667,3.0574,0,4,4,3,1,stim/p_schwa_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,6,9.6742,2.0625,1.6281,0,5,5,2,1,stim/peuf_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,7,4.3031,2.119791667,1.7468,0,6,6,1,1,stim/pief_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,4.8327,2.984375,1.8688,0,7,7,5,1,stim/fief_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,4.6797,2.036458333,1.6152,1,0,8,0,1,stim/pof_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,6,3.6637,1.984375,1.65,1,1,9,2,1,stim/peuf_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,3.6804,2.255208333,2.0055,1,2,10,4,1,stim/fof_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,5,6.9609,1.145833333,3.0639,1,3,11,3,1,stim/p_schwa_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,7,5.4232,1.177083333,5.049,1,4,12,1,1,stim/pief_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,6,4.9913,2.567708333,2.6013,1,5,13,7,1,stim/f_schwa_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
,,,,7,3.1646,1.994791667,9.8822,1,6,14,5,1,stim/fief_g.wav,613cc843c0b56b1567b14534,001,2022-03-29_14h14.09.079,exp_mono_sp,2021.2.3,Win32,59.83366242,,,,,,,,,,,
