check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,2.38,space,247.49,5,9.0767,2.413245892,14.8133,0,0,0,5,1,stim/fief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,3.2172,4.786535304,3.7284,0,1,1,6,1,stim/feuf_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,4.3823,3.306513544,1.3732,0,2,2,4,1,stim/fof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,7.0278,3.52545156,1.1076,0,3,3,0,1,stim/pof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,16.5977,1.108374384,1.7896,0,4,4,7,1,stim/f_schwa_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,4.5813,1.81773399,1.0391,0,5,5,3,1,stim/p_schwa_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,3.2717,3.477285301,1.3727,0,6,6,2,1,stim/peuf_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,3.0721,4.725232755,1.1062,0,7,7,1,1,stim/pief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,2.8832,4.725232755,0.7271,1,0,8,1,1,stim/pief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,3.005,3.630541872,0.8271,1,1,9,2,1,stim/peuf_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,4.1969,1.677613708,1.2442,1,2,10,7,1,stim/f_schwa_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,2.067,4.909140801,1.5654,1,3,11,5,1,stim/fief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,3.365,4.029009439,1.3226,1,4,12,0,1,stim/pof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,2.6104,4.029009439,0.7599,1,5,13,6,1,stim/feuf_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,5.1189,1.642583537,2.2811,1,6,14,3,1,stim/p_schwa_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,4.4067,4.427477005,1.3443,1,7,15,4,1,stim/fof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,2.6875,4.427477005,0.5362,2,0,16,4,1,stim/fof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,6,3.1143,4.427477005,0.8765,2,1,17,2,1,stim/peuf_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,2.809,4.966064854,3.0137,2,2,18,1,1,stim/pief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,7,1.9591,4.966064854,0.4884,2,3,19,5,1,stim/fief_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,5.7151,2.084838667,1.3341,2,4,20,3,1,stim/p_schwa_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
,,,,5,3.8535,3.582375613,1.2838,2,5,21,0,1,stim/pof_g.wav,614a2f8df39b9ec154e1f640,001,2022-03-29_15h24.54.668,exp_mono_sp,2021.2.3,Win32,59.97720866,,,,,,,,,,,
