check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,5.7575,space,23.8478,7,16.1189,1.432291667,6.1228,0,0,0,0,1,stim/pof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,7.2525,2.984375,8.6768,0,1,1,6,1,stim/feuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,7.5105,4.9375,11.1789,0,2,2,7,1,stim/f_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,4.526,4.005208333,5.2488,0,3,3,4,1,stim/fof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,4.8685,4.005208333,14.4528,0,4,4,1,1,stim/pief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,6.1537,2.989583333,4.4969,0,5,5,2,1,stim/peuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,7.2539,4.005208333,4.3597,0,6,6,3,1,stim/p_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,5.7159,4.973958333,3.8342,0,7,7,5,1,stim/fief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,4.1351,4.989583333,4.3642,1,0,8,1,1,stim/pief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,4.0009,3.973958333,3.3759,1,1,9,7,1,stim/f_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,3.2501,4.921875,2.2001,1,2,10,5,1,stim/fief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,5.8197,2,2.274,1,3,11,3,1,stim/p_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,3.747,4.020833333,2.1384,1,4,12,2,1,stim/peuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,4.8648,1.994791667,2.771,1,5,13,0,1,stim/pof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,3.0332,3.005208333,2.09,1,6,14,4,1,stim/fof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,2.6448,3.96875,2.4889,1,7,15,6,1,stim/feuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,6.8074,1.020833333,4.1875,2,0,16,0,1,stim/pof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,4.6145,1.010416667,3.8377,2,1,17,7,1,stim/f_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,3.2157,2.989583333,2.392,2,2,18,6,1,stim/feuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,4.3089,1.171875,2.0086,2,3,19,4,1,stim/fof_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,5,5.353,1.020833333,3.1907,2,4,20,3,1,stim/p_schwa_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,3.0582,4.984375,3.5426,2,5,21,1,1,stim/pief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,7,2.3707,4.963541667,3.8897,2,6,22,5,1,stim/fief_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,6,5.3681,3.026041667,2.0225,2,7,23,2,1,stim/peuf_g.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,,,,,,,,,
,,,,,,,,,,,,,stim/fof_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,space,4.6511,5,4.0459,1.984375,3.9598,0,0,0,4,1
,,,,,,,,,,,,,stim/pof_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,5,4.9152,1.994791667,2.1765,0,1,1,0,1
,,,,,,,,,,,,,stim/feuf_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,6,2.6368,3.020833333,2.3976,0,2,2,6,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,5,4.9663,1.901041667,2.2962,0,3,3,3,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,7,12.049,1.015625,4.4405,0,4,4,7,1
,,,,,,,,,,,,,stim/fif_f.wav,614ac8fb3ea7756493dc3742,001,2022-03-29_15h27.00.549,exp_mono_sp,2021.2.3,Win32,59.81218972,,,7,2.4552,4.989583333,2.5561,0,5,5,5,1
