check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,3.7831,space,24.9213,6,10.1172,4.070370427,7.2415,0,0,0,2,1,stim/peuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,5,5.0797,3.029629743,2.8564,0,1,1,3,1,stim/p_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,2.6829,4.992592706,1.0719,0,2,2,5,1,stim/fief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,3.2049,3.992592706,1.3074,0,3,3,0,1,stim/pof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.5465,4.992592706,1.1899,0,4,4,4,1,stim/fof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,5,4.9446,1.059259344,2.1361,0,5,5,7,1,stim/f_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,3.2828,4.340740628,1.9643,0,6,6,6,1,stim/feuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,3.3012,4.981481481,1.9963,0,7,7,1,1,stim/pief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,2.7881,3.988889058,2.0623,1,0,8,2,1,stim/peuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,5.115,1.981481481,1.6834,1,1,9,7,1,stim/f_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,3.8407,4.996296635,2.66,1,2,10,1,1,stim/pief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.2685,4.94074108,1.3127,1,3,11,6,1,stim/feuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.1365,4.981481481,2.4442,1,4,12,4,1,stim/fof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.5932,3.940740797,1.4781,1,5,13,0,1,stim/pof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,5,5.3126,2.044444614,1.442,1,6,14,3,1,stim/p_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,2.1777,4.962962963,1.0969,1,7,15,5,1,stim/fief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,1.9395,4.996296635,1.3244,2,0,16,6,1,stim/feuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,5,2.285,1.974074187,1.4579,2,1,17,7,1,stim/f_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,5,3.5793,1.311111168,1.2595,2,2,18,3,1,stim/p_schwa_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,2.6057,4.977778117,1.0386,2,3,19,1,1,stim/pief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.6606,4.94074108,1.424,2,4,20,2,1,stim/peuf_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,1.679,4.93333322,0.7472,2,5,21,4,1,stim/fof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,7,1.6742,4.93333322,0.5947,2,6,22,5,1,stim/fief_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,6,2.2665,4.233333446,0.7304,2,7,23,0,1,stim/pof_g.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,,,,,,,,,
,,,,,,,,,,,,,stim/feuf_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,space,3.9097,6,3.0371,4.94074108,1.141,0,0,0,6,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,4.4597,4.211110998,0.7252,0,1,1,3,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,2.4967,4.762963189,1.0736,0,2,2,2,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,2.2731,4.007407577,1.7755,0,3,3,7,1
,,,,,,,,,,,,,stim/pif_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,7,2.7561,2.977777834,1.6645,0,4,4,1,1
,,,,,,,,,,,,,stim/fif_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,7,2.0333,3.777777778,2.7815,0,5,5,5,1
,,,,,,,,,,,,,stim/fof_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,4.4212,3.018518519,1.3081,0,6,6,4,1
,,,,,,,,,,,,,stim/pof_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,4.7027,3.025926095,0.9677,0,7,7,0,1
,,,,,,,,,,,,,stim/fof_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,6.0554,2.985185129,0.7799,1,0,8,4,1
,,,,,,,,,,,,,stim/fif_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,7,1.9273,4.988888776,1.338,1,1,9,5,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,2.3965,4.200000339,0.9301,1,2,10,6,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,2.0555,4.200000339,0.4971,1,3,11,7,1
,,,,,,,,,,,,,stim/pif_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,7,2.5195,4.729629517,0.7744,1,4,12,1,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,4.0366,4.114814758,0.7426,1,5,13,2,1
,,,,,,,,,,,,,stim/pof_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,2.9666,4.800000226,1.0136,1,6,14,0,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,2.4814,4.93333322,0.688,1,7,15,3,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,2.0558,4.911111337,0.7481,2,0,16,3,1
,,,,,,,,,,,,,stim/pif_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,7,2.4591,4.777777778,0.8624,2,1,17,1,1
,,,,,,,,,,,,,stim/pof_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,5,2.6996,4.762963189,0.5602,2,2,18,0,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f5f8db53a033f318ee07b,001,2022-03-29_15h22.36.642,exp_mono_sp,2021.2.3,Win32,59.76571838,,,6,2.6358,4.87037037,0.6619,2,3,19,2,1
