check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,2.0212,space,1.406,6,2.2569,3.5,4.736,0,0,0,6,1,stim/feuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,3.0564,3.84375,1.7871,0,1,1,0,1,stim/pof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,1.9334,4.286458333,1.7159,0,2,2,5,1,stim/fief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.1677,1.96875,2.4141,0,3,3,7,1,stim/f_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,2.4959,4.489583333,1.7991,0,4,4,1,1,stim/pief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,1.4511,4.755208333,2.4155,0,5,5,4,1,stim/fof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.3467,2,2.0484,0,6,6,3,1,stim/p_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.0859,4.385416667,2.3794,0,7,7,2,1,stim/peuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.0177,1.942708333,2.503,1,0,8,7,1,stim/f_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.4837,4.21875,1.9417,1,1,9,2,1,stim/peuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.7386,4.359375,1.9385,1,2,10,0,1,stim/pof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.3228,3.5625,3.9558,1,3,11,6,1,stim/feuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.8273,2.114583333,2.8815,1,4,12,3,1,stim/p_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,1.9455,4.364583333,1.86,1,5,13,5,1,stim/fief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.252,4.182291667,2.0539,1,6,14,4,1,stim/fof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,3.1463,4.479166667,1.5528,1,7,15,1,1,stim/pief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.1509,3.588541667,1.5836,2,0,16,6,1,stim/feuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,6,2.5674,4.067708333,1.9005,2,1,17,2,1,stim/peuf_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.5711,4.515625,2.9686,2,2,18,0,1,stim/pof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,2.8175,4.635416667,1.634,2,3,19,1,1,stim/pief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,2.4012,1.958333333,2.5678,2,4,20,7,1,stim/f_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,3.0663,1.854166667,1.8547,2,5,21,3,1,stim/p_schwa_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,5,3.0654,4.171875,2.1336,2,6,22,4,1,stim/fof_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,7,2.0859,4.328125,1.611,2,7,23,5,1,stim/fief_g.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,,,,,,,,,
,,,,,,,,,,,,,stim/fif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,space,1.2557,7,2.2701,4.390625,2.6116,0,0,0,5,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,7,2.3494,4.53125,2.4506,0,1,1,1,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,2.9045,3.739583333,2.2119,0,2,2,0,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,2.5095,2.947916667,1.8225,0,3,3,6,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,2.4348,2.536458333,1.8889,0,4,4,7,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,3.0523,2.932291667,1.6255,0,5,5,2,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,2.5522,3.416666667,2.2334,0,6,6,3,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,2.2011,3.463541667,1.7933,0,7,7,4,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,7,2.8196,4.6875,1.7332,1,0,8,1,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,2.7669,4.244791667,2.5803,1,1,9,2,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,3.3222,3.828125,4.0286,1,2,10,6,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,3.437,3.864583333,3.453,1,3,11,3,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,4.2791,2.901041667,2.8556,1,4,12,0,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,4.6652,2.46875,1.8844,1,5,13,4,1
,,,,,,,,,,,,,stim/fif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,7,3.734,4.614583333,1.6863,1,6,14,5,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,6.7832,3.473958333,2.4004,1,7,15,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,2.7601,4.28125,1.914,2,0,16,6,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,8.4813,3.052083333,1.7714,2,1,17,7,1
,,,,,,,,,,,,,stim/fif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,7,1.9583,4.5,2.3744,2,2,18,5,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,6,3.0506,3.713541667,1.8753,2,3,19,2,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,2.5496,3.1875,2.3447,2,4,20,3,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,7,3.4604,4.5625,2.8421,2,5,21,1,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,7.5507,2.875,2.7874,2,6,22,4,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6387155295eb294e7717,001,2022-03-29_15h33.01.163,exp_mono_sp,2021.2.3,Win32,60.79766537,,,5,2.8676,3.229166667,2.1661,2,7,23,0,1
