check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,3.6011,space,19.8447,7,14.1385,1.972425266,7.8995,0,0,0,3,1,stim/p_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,8.3426,4.002974989,3.5356,0,1,1,1,1,stim/pief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,3.9992,3.954969076,2.385,0,2,2,2,1,stim/peuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.3912,4.033296712,1.8368,0,3,3,5,1,stim/fief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.6232,3.968315701,1.8141,0,4,4,6,1,stim/feuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.1455,4.038631727,1.813,0,5,5,0,1,stim/pof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,4.6715,4.023764377,0.7528,0,6,6,4,1,stim/fof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,5.1876,4.008494466,1.0873,0,7,7,7,1,stim/f_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.125,4.022518446,0.7142,1,0,8,5,1,stim/fief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,3.2623,4.020818956,1.831,1,1,9,2,1,stim/peuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,4.7546,1.069166531,1.4693,1,2,10,7,1,stim/f_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.5765,3.019970432,0.8527,1,3,11,0,1,stim/pof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,1.4688,3.016571452,0.5979,1,4,12,4,1,stim/fof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.5078,4.008119303,2.4157,1,5,13,6,1,stim/feuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.9765,3.933074002,1.7047,1,6,14,1,1,stim/pief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.1505,1.077865804,1.0234,1,7,15,3,1,stim/p_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.945,3.983457574,1.0715,2,0,16,1,1,stim/pief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,2.754,3.042754991,1.9561,2,1,17,2,1,stim/peuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,6,1.687,3.042754991,0.5035,2,2,18,6,1,stim/feuf_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,2.1178,1.010028076,1.1996,2,3,19,7,1,stim/f_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,7,2.5855,3.222778049,1.1493,2,4,20,5,1,stim/fief_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,2.9092,3.816700575,1.0392,2,5,21,4,1,stim/fof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,2.1263,3.234357368,1.0604,2,6,22,0,1,stim/pof_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,5,3.5207,1.053793945,1.2419,2,7,23,3,1,stim/p_schwa_g.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,
,,,,,,,,,,,,,stim/peuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,space,4.5247,6,4.0351,2.984647895,0.944,0,0,0,2,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.5724,4.007342936,1.282,0,1,1,4,1
,,,,,,,,,,,,,stim/fif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.8863,4.901304796,2.6205,0,2,2,5,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,4.1237,1.968758816,0.7952,0,3,3,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.2355,2.976493327,2.171,0,4,4,6,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,3.4359,4.027541233,1.1622,0,5,5,1,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.7686,3.699790582,1.2609,0,6,6,0,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,4.3836,3.857540148,0.8607,0,7,7,3,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.9721,3.854141168,0.8963,1,0,8,2,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,3.4842,1.509525146,0.7453,1,1,9,7,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.0626,3.975014377,0.9883,1,2,10,6,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,2.6195,4.390296766,0.7038,1,3,11,1,1
,,,,,,,,,,,,,stim/fif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.5905,4.324872776,0.938,1,4,12,5,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,4.3242,1.676193712,0.8942,1,5,13,3,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.5021,1.674922282,0.5618,1,6,14,0,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,1.7006,1.668124322,0.5397,1,7,15,4,1
,,,,,,,,,,,,,stim/pof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.5439,4.096801487,0.822,2,0,16,0,1
,,,,,,,,,,,,,stim/pif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,2.8119,3.998321669,2.2063,2,1,17,1,1
,,,,,,,,,,,,,stim/feuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.2347,3.1534375,1.0881,2,2,18,6,1
,,,,,,,,,,,,,stim/fif_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,7,1.8768,4.48038303,0.721,2,3,19,5,1
,,,,,,,,,,,,,stim/p_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,3.5089,1.01290351,0.9439,2,4,20,3,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.2203,1.068117811,0.645,2,5,21,7,1
,,,,,,,,,,,,,stim/peuf_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,6,2.6448,3.050591905,0.8711,2,6,22,2,1
,,,,,,,,,,,,,stim/fof_f.wav,615f6dca1da7995918234a64,001,2022-03-29_15h28.18.475,exp_mono_sp,2021.2.3,MacIntel,59.99880002,,,5,2.1544,4.024262153,0.8218,2,7,23,4,1
