check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,3.2313,space,40.0097,5,30.0654,2.880208333,13.1434,0,0,0,7,1,stim/f_schwa_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,16.8758,4.026041667,3.2206,0,1,1,5,1,stim/fief_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,4.8357,3.973958333,2.3792,0,2,2,0,1,stim/pof_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,4.8347,4.03125,1.9726,0,3,3,2,1,stim/peuf_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,5,2.8674,4.979166667,1.6739,0,4,4,4,1,stim/fof_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,7,4.7009,4.036458333,1.7928,0,5,5,3,1,stim/p_schwa_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,3.0011,3.942708333,5.4961,0,6,6,6,1,stim/feuf_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,7,3.6172,4.9375,1.8825,0,7,7,1,1,stim/pief_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,2.4675,3.96875,1.3871,1,0,8,4,1,stim/fof_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,7,3.1084,2.973958333,1.8743,1,1,9,1,1,stim/pief_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,5.6358,1.046875,2.0772,1,2,10,3,1,stim/p_schwa_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,7,5.1095,2,1.8525,1,3,11,7,1,stim/f_schwa_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,6,13.8076,3.03125,1.3283,1,4,12,2,1,stim/peuf_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
,,,,5,2.8913,3.963541667,1.5037,1,5,13,0,1,stim/pof_g.wav,6161425f649f50a9d8dc0fbb,001,2022-03-29_15h19.26.304,exp_mono_sp,2021.2.3,Win32,61.71315725,,,,,,,,,,,
