check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,8.9492,space,42.8317,5,22.2402,1.988888889,16.1149,0,0,0,7,1,stim/f_schwa_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,5.5124,3.988888889,7.0367,0,1,1,1,1,stim/pief_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,3.6787,3.974074074,5.6764,0,2,2,6,1,stim/feuf_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,2.9064,4.996296296,4.7165,0,3,3,5,1,stim/fief_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,10.349,1.025925926,1.8173,0,4,4,3,1,stim/p_schwa_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,3.9648,4.048148148,1.9889,0,5,5,0,1,stim/pof_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,2.0268,4.988888889,0.837,0,6,6,4,1,stim/fof_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,4.4858,4.833333333,1.5652,0,7,7,2,1,stim/peuf_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,2.8149,4.862962963,1.3526,1,0,8,1,1,stim/pief_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,2.0767,4.862962963,0.6196,1,1,9,4,1,stim/fof_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,2.6511,4.925925926,0.6249,1,2,10,6,1,stim/feuf_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,5,9.9821,1.177777778,1.1304,1,3,11,3,1,stim/p_schwa_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,3.3556,4.355555556,0.9586,1,4,12,0,1,stim/pof_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,1.9484,4.507407407,0.9186,1,5,13,5,1,stim/fief_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,2.3724,4.618518519,0.9692,1,6,14,2,1,stim/peuf_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,5,5.007,1.12962963,1.0726,1,7,15,7,1,stim/f_schwa_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,2.8231,4.948148148,2.0079,2,0,16,5,1,stim/fief_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,6,2.7855,4.707407407,0.8575,2,1,17,2,1,stim/peuf_g.wav,,001,2022-03-29_15h37.00.904,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
