check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,2.832,space,11.408,7,10.352,3.022222222,6.6,0,0,0,4,1,stim/fof_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,7,3.166,4.014814815,1.678,0,1,1,5,1,stim/fief_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,6.924,3.02962963,1.971,0,2,2,0,1,stim/pof_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,2.531,3.011111111,0.555,0,3,3,6,1,stim/feuf_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,7,3.796,2.933333333,1.457,0,4,4,1,1,stim/pief_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,5,5.517,1.022222222,1.503,0,5,5,7,1,stim/f_schwa_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,4.462,1.985185185,1.184,0,6,6,2,1,stim/peuf_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,9.61,1.977777778,1.695,0,7,7,3,1,stim/p_schwa_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,3.422,2.974074074,0.713,1,0,8,3,1,stim/p_schwa_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
,,,,6,2.838,2.133333333,0.53,1,1,9,2,1,stim/peuf_g.wav,sebastian,001,2022-03-29_16h01.19.965,exp_mono_sp,2021.2.3,Win32,59.95203837,,,,,,,,,,,
