check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,25.261,space,47.541,7,14.087,3.015,13.452,0,0,0,5,1,stim/fief_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,5,13.13,1.985,4.164,0,1,1,0,1,stim/pof_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,9.704,1.985,2.642,0,2,2,4,1,stim/fof_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,18.32,3.005,5.282,0,3,3,1,1,stim/pief_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,5,16.607,1.04,4.943,0,4,4,6,1,stim/feuf_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,12.954,1,1.56,0,5,5,3,1,stim/p_schwa_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,8.735,2.01,1.218,0,6,6,2,1,stim/peuf_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,4.457,2.015,2.057,0,7,7,7,1,stim/f_schwa_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,6.651,2.005,3.305,1,0,8,1,1,stim/pief_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
,,,,7,5.041,3.04,3.362,1,1,9,2,1,stim/peuf_g.wav,t,001,2022-03-29_15h36.10.408,exp_mono_sp,2021.2.3,Win32,60.0024001,,,,,,,,,,,
