key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
2,3.193,space,63.81,7,16.336,2.84375,2.954,0,0,0,6,1,stim/feuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,7.552,3.723958333,1.44,0,1,1,5,1,stim/fief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,5.419,3.651041667,1.799,0,2,2,4,1,stim/fof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,1,5.283,2.432291667,1.406,0,3,3,2,1,stim/peuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,6.735,3.270833333,1.448,0,4,4,3,1,stim/p_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,7.651,3.484375,1.011,0,5,5,1,1,stim/pief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,6.84,3.244791667,0.948,0,6,6,0,1,stim/pof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,9.603,2.270833333,1.006,0,7,7,7,1,stim/f_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,7.534,2.411458333,0.663,1,0,8,2,1,stim/peuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,4,3.418,3.401041667,0.757,1,1,9,4,1,stim/fof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,1,4.437,3.510416667,1.04,1,2,10,7,1,stim/f_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,2.752,3.317708333,0.622,1,3,11,6,1,stim/feuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,4,4.053,3.734375,0.745,1,4,12,0,1,stim/pof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,5,6.789,3.09375,1.028,1,5,13,3,1,stim/p_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,3,7.005,3.21875,0.689,1,6,14,1,1,stim/pief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,4.035,3.109375,0.564,1,7,15,5,1,stim/fief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,5,4.35,3.130208333,0.475,2,0,16,0,1,stim/pof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,1,3.154,3.958333333,0.79,2,1,17,6,1,stim/feuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,3.375,3.911458333,0.923,2,2,18,3,1,stim/p_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,7.634,3.505208333,0.86,2,3,19,7,1,stim/f_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,5,6.903,3.458333333,0.7,2,4,20,4,1,stim/fof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,4,4.833,2.578125,0.73,2,5,21,2,1,stim/peuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,2.323,3.416666667,0.523,2,6,22,5,1,stim/fief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,3,6.452,3.135416667,0.422,2,7,23,1,1,stim/pief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,4,2.602,3.255208333,0.489,3,0,24,6,1,stim/feuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,3.322,3.151041667,0.289,3,1,25,1,1,stim/pief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,5,4.366,3.1875,0.404,3,2,26,0,1,stim/pof_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,7,2.388,3.359375,0.411,3,3,27,5,1,stim/fief_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,2,2.885,3.552083333,0.389,3,4,28,3,1,stim/p_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,4,2.649,3.416666667,0.357,3,5,29,2,1,stim/peuf_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,,,,1,6.134,3.333333333,0.44,3,6,30,7,1,stim/f_schwa_g.wav,6151cfe3ba49dd3ad62708ee,001,2022-03-17_16h52.35.447,span_vct,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
