key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
2,4.0275,space,37.3798,1,9.8674,4.018518745,3.2832,0,0,0,7,1,stim/f_schwa_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,2,7.6725,4.948148261,3.1613,0,1,1,4,1,stim/fof_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,4,10.2005,2.118518575,0.8658,0,2,2,2,1,stim/peuf_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,1,4.3349,2.933333333,0.7341,0,3,3,6,1,stim/feuf_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,2,3.5489,3.83703715,1.6328,0,4,4,0,1,stim/pof_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,7,8.4688,3.140740967,1.4139,0,5,5,5,1,stim/fief_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,3,4.7484,2.270370483,1.2328,0,6,6,1,1,stim/pief_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,1,5.1327,1.994444444,0.7856,0,7,7,3,1,stim/p_schwa_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,3,3.2832,3.122222222,1.6324,1,0,8,1,1,stim/pief_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,2,2.0832,3.95,0.7493,1,1,9,4,1,stim/fof_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,1,6.5506,1.055555556,1.1659,1,2,10,3,1,stim/p_schwa_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,3,2.617,2.981481595,0.8493,1,3,11,5,1,stim/fief_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,1,2.566,3.888888889,1.1041,1,4,12,7,1,stim/f_schwa_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,4,4.5671,3.107407633,0.9535,1,5,13,6,1,stim/feuf_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,2,5.8999,3.005555556,0.7834,1,6,14,0,1,stim/pof_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,5,6.0332,2.214814928,0.6151,1,7,15,2,1,stim/peuf_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,4,3.6004,2.990740967,1.5493,2,0,16,6,1,stim/feuf_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,3,3.0168,2.022222222,0.7507,2,1,17,5,1,stim/fief_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
,,,,2,1.667,3.018518745,0.7824,2,2,18,4,1,stim/fof_g.wav,,001,2022-03-17_17h38.10.572,span_vct,2021.2.3,Win32,144.1337561,,,,,,,,,,,,,
