"","phoneme","stim_language","choice","n","mean_rating","percentage"
"1","i","french","fin",145,3.9437016576069,0.833333333333333
"2","i","french","son",6,2.51917199533333,0.0344827586206897
"3","i","french","su",23,4.05863266608696,0.132183908045977
"4","i","German","fin",167,3.74848209071856,0.959770114942529
"5","i","German","son",1,2.081481651,0.00574712643678161
"6","i","German","su",6,3.55146027733333,0.0344827586206897
"7","o","french","fin",22,2.51929371090909,0.126436781609195
"8","o","french","son",107,3.06076385841122,0.614942528735632
"9","o","french","su",45,3.09016392553333,0.258620689655172
"10","o","German","fin",16,1.8067965541875,0.0919540229885057
"11","o","German","son",103,3.17216995063107,0.591954022988506
"12","o","German","su",55,3.14537560350909,0.316091954022989
"13","schwa","french","fin",43,2.2708293604186,0.247126436781609
"14","schwa","french","son",81,2.68224793574074,0.46551724137931
"15","schwa","french","su",50,2.45800967884,0.28735632183908
"16","schwa","German","fin",48,2.3453495023125,0.275862068965517
"17","schwa","German","son",97,2.0766435674433,0.557471264367816
"18","schwa","German","su",29,2.23679908237931,0.166666666666667
"19","y","french","fin",35,3.26141319342857,0.201149425287356
"20","y","french","son",11,2.44551625672727,0.0632183908045977
"21","y","french","su",128,3.40264893546875,0.735632183908046
"22","y","German","fin",27,3.04281079125926,0.155172413793103
"23","y","German","son",14,2.55622517221429,0.0804597701149425
"24","y","German","su",133,3.16390016347368,0.764367816091954
