"","check.keys","choice","language_chosen","rating","stim","participant","frame","stim_language","phoneme","L1","language_choice_num","choice_num"
"1",NA,"fool","eng","3.895833333","stim/peuf_f.wav","5588d358fdf99b304ee5674f","bilabial","french","y","English_mono",1,2
"2",NA,"fool","eng","4.40625","stim/feuf_f.wav","5588d358fdf99b304ee5674f","fricative","french","y","English_mono",1,2
"3",NA,"fought","eng","2.786458333","stim/fof_f.wav","5588d358fdf99b304ee5674f","fricative","french","o","English_mono",1,4
"4",NA,"fun","eng","3.645833333","stim/pof_f.wav","5588d358fdf99b304ee5674f","bilabial","french","o","English_mono",1,3
"5",NA,"feel","eng","4.072916667","stim/fif_f.wav","5588d358fdf99b304ee5674f","fricative","french","i","English_mono",1,7
"6",NA,"fought","eng","2.505208333","stim/p_schwa_f.wav","5588d358fdf99b304ee5674f","bilabial","french","schwa","English_mono",1,4
"7",NA,"fought","eng","2.791666667","stim/f_schwa_f.wav","5588d358fdf99b304ee5674f","fricative","french","schwa","English_mono",1,4
"8",NA,"feel","eng","4.453125","stim/pif_f.wav","5588d358fdf99b304ee5674f","bilabial","french","i","English_mono",1,7
"9",NA,"feel","eng","2.524414063","stim/pif_f.wav","558aab19fdf99b65685f0142","bilabial","french","i","English_mono",1,7
"10",NA,"fun","eng","1.94724617","stim/p_schwa_f.wav","558aab19fdf99b65685f0142","bilabial","french","schwa","English_mono",1,3
"11",NA,"feel","eng","3.762402344","stim/fif_f.wav","558aab19fdf99b65685f0142","fricative","french","i","English_mono",1,7
"12",NA,"fool","eng","2.058749962","stim/fof_f.wav","558aab19fdf99b65685f0142","fricative","french","o","English_mono",1,2
"13",NA,"fool","eng","2.2578125","stim/feuf_f.wav","558aab19fdf99b65685f0142","fricative","french","y","English_mono",1,2
"14",NA,"fought","eng","1.596992302","stim/pof_f.wav","558aab19fdf99b65685f0142","bilabial","french","o","English_mono",1,4
"15",NA,"fool","eng","2.132343864","stim/peuf_f.wav","558aab19fdf99b65685f0142","bilabial","french","y","English_mono",1,2
"16",NA,"fun","eng","2.001640701","stim/f_schwa_f.wav","558aab19fdf99b65685f0142","fricative","french","schwa","English_mono",1,3
"17",NA,"fought","eng","4.979166667","stim/peuf_f.wav","559e6830fdf99b4f0b98514a","bilabial","french","y","English_mono",1,4
"18",NA,"feel","eng","4.994791667","stim/pif_f.wav","559e6830fdf99b4f0b98514a","bilabial","french","i","English_mono",1,7
"19",NA,"fun","eng","4.984375","stim/feuf_f.wav","559e6830fdf99b4f0b98514a","fricative","french","y","English_mono",1,3
"20",NA,"fun","eng","4.9375","stim/pof_f.wav","559e6830fdf99b4f0b98514a","bilabial","french","o","English_mono",1,3
"21",NA,"feel","eng","4.984375","stim/fif_f.wav","559e6830fdf99b4f0b98514a","fricative","french","i","English_mono",1,7
