session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Record Audio,Sex,Student Status
62a8b096915e2c892d3443a3,590eb4006d77630001d3a28a,APPROVED,2022-06-14 16:00:25.891000,2022-06-14 16:19:22.509000,1136.618,26,1050,4,100,2022-06-17 17:12:31.626000,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Yes,Female,No
62a8b30a1ae2f39d44037b8f,6094c0e7af94737806eca8f2,APPROVED,2022-06-14 16:10:57.504000,2022-06-14 16:31:23.512000,1226.008,27,80,0,100,2022-06-17 17:12:31.685000,NOCODE,United States,United States,DATA EXPIRED,English,"Chinese, English, Spanish",United States,Yes,Male,Yes
62a8b4dc61d68d6a86c8bcca,5e1508eb18e869b078576e94,RETURNED,2022-06-14 16:19:17.979000,,276942.16656,29,1004,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8b791f1d636976d37651e,572036a1fd3a5200093c126b,RETURNED,2022-06-14 16:30:12.401000,2022-06-14 16:31:30.275000,77.874,44,3087,6,100,,4FE58992,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8b7b414569515526ff229,611bef112e9841a0a0f5a8d4,RETURNED,2022-06-14 16:30:48.553000,,276251.623789,41,51,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8b8515678079aa2c69a72,611112142433b5e95c84acd9,APPROVED,2022-06-14 16:33:24.075000,2022-06-14 16:50:07.368000,1003.293,27,461,0,100,2022-06-17 17:12:31.752000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8b8dfdd94e86e95ac708f,61006b0f1f3bfddb6b4c5d55,RETURNED,2022-06-14 16:35:59.149000,,275941.057473,31,48,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8ba6d1e36976d66660c1d,60fe1a43857cc5f00d4a78ec,RETURNED,2022-06-14 16:42:25.104000,,275555.120566,41,865,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bb17b4611ccd679203b8,5ac2a84e5cd10500016219e9,APPROVED,2022-06-14 16:45:14.334000,2022-06-14 16:58:28.435000,794.101,23,236,1,100,2022-06-17 17:12:31.814000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,Yes
62a8bc50405f43858ce55411,5e74e1df5ae15103a51a1ee8,RETURNED,2022-06-14 16:50:50.199000,,275050.06093,33,52,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bcac71218746cd4424d3,601fc50f4b7f33504a02cd52,TIMED-OUT,2022-06-14 16:52:02.308000,,274977.970825,44,802,17,95,,,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8bcda1c2e2a51aff67ce2,57ad04adddc11d00015bb1c3,RETURNED,2022-06-14 16:52:49.558000,,274930.735642,32,859,9,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bd2da841fdbd114df1b7,611d7da2640a2e31818c3e18,APPROVED,2022-06-14 16:54:10.891000,2022-06-14 17:07:42.144000,811.253,26,1093,1,100,2022-06-17 17:12:31.882000,NOCODE,United States,United States,Part-Time,English,English,United States,Yes,Female,No
62a8bd2ddec411e42ba43176,589ce4d65e63bf00013b3175,RETURNED,2022-06-14 16:54:08.581000,,274851.742978,27,2186,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bd3bb7d308d6bef93c59,5e1b299528c70235eeed62ef,RETURNED,2022-06-14 16:54:24.114000,,274836.226117,33,1420,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bd5507b7962fa85a6ab8,5badcd276322c5000157c196,RETURNED,2022-06-14 17:04:45.080000,,274215.274425,26,1217,10,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bd59a841fdbd114df1b8,61bb38a640db417c1a138ccb,RETURNED,2022-06-14 16:54:52.276000,,274808.095822,30,415,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bd8adec411e42ba4317e,5e5c88c3be924d475ff0fc34,RETURNED,2022-06-14 16:55:43.532000,,274756.856827,37,1635,19,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8be7fb96cc69d5d921e6a,5e6d0d5540c52a2c9fc7b560,RETURNED,2022-06-14 16:59:46.115000,,274514.288617,30,79,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8beaff0b5a17352c54fe8,56f29effed0cf60006911528,RETURNED,2022-06-14 17:00:33.361000,,274467.058645,46,2012,8,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8beb76798278f3573d690,6296cc20de63a753209d7d02,RETURNED,2022-06-14 17:10:39.679000,,273860.756616,33,42,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bf249bf468e91c3efc92,5ffe97d636fe8d54580c662e,APPROVED,2022-06-14 17:02:31.153000,2022-06-14 17:18:07.413000,936.26,19,793,1,100,2022-06-17 17:12:31.972000,NOCODE,United States,United States,Part-Time,English,English,United States,Yes,Male,Yes
62a8bfa0d2e347d183d10f23,5ebb26803576b50eb12d87d9,RETURNED,2022-06-14 17:04:47.062000,,274213.405654,26,782,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8bff967427a8d6c86eb2e,60dfa0f80964725cfdab1685,RETURNED,2022-06-14 17:06:05.884000,,274134.601112,61,1302,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c01eba41de1756bcf14a,628bab7a563952ff38d84627,RETURNED,2022-06-14 17:06:42.322000,,274098.177542,28,88,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c037d9e307d53a4bf697,60fc66d467a3274c2934c562,RETURNED,2022-06-14 17:17:03.277000,,273477.237213,22,530,9,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c047642df4f156d9b00e,607ba9f40639e8a2c931d622,RETURNED,2022-06-14 17:07:24.236000,,274056.292527,46,481,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c07e0296cb65ef67dad0,5e954b384491ad117052cd48,APPROVED,2022-06-14 17:08:17.835000,2022-06-14 17:21:01.578000,763.743,21,2118,3,100,2022-06-17 17:12:32.052000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,Yes
62a8c091e8fdfbf5febb1e46,5c69f9dd4b5bb30001b3d31c,RETURNED,2022-06-14 17:10:31.884000,,273868.675036,52,1052,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c1129b82dc06a2dfe6fd,5ea7b13e8ac6491a2050e619,RETURNED,2022-06-14 17:10:45.645000,,273854.932236,69,2245,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c11843a147f1af433480,5e483052a742a3000f7c15e8,APPROVED,2022-06-14 17:10:51.428000,2022-06-14 18:18:45.381000,4073.953,32,872,3,100,2022-06-17 17:12:32.120000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,Yes
62a8c11f3544fbe0f86c3d1e,5acbd426e734400001da85e4,RETURNED,2022-06-14 17:15:34.635000,,273565.988456,52,842,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c185a002d3c149da047d,615220b57cd6d1d3f7e031b2,RETURNED,2022-06-14 17:12:42.306000,,273738.335929,21,627,9,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c19cc226e6ee74ebfae8,629689b8902bc98de5def57a,APPROVED,2022-06-14 17:13:07.298000,2022-06-14 17:15:41.596000,154.298,72,29,1,99,2022-06-17 17:12:32.195000,NOCODE,United States,United States,Other,English,English,United States,Yes,Female,No
62a8c1d995e18746e489e2d5,6150b927614a4f154f311f9d,RETURNED,2022-06-14 17:14:05.687000,,273655.021704,32,848,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c1f4b62e4bc4cd6c9ee3,60cea844a7fff29a2a57f97e,RETURNED,2022-06-14 17:14:32.470000,,273628.256296,49,947,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c2d7505998b146a4fde7,5e9fc65dee2ccf178f0e413f,RETURNED,2022-06-14 17:18:19.371000,,273401.369252,54,1823,26,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c355adb0b9a72b9a9226,5bf08d054863520001b1e1dc,APPROVED,2022-06-14 17:20:25.502000,2022-06-14 17:47:49.422000,1643.92,36,1083,17,96,2022-06-17 17:12:32.272000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8c387da29eeaa1fee1351,58742bf5d53c97000159df8c,RETURNED,2022-06-14 17:21:23.912000,,273216.891565,33,3099,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c3982b9176d383d2d02a,56780a5a89319e0011644cb4,APPROVED,2022-06-14 17:21:36.132000,2022-06-14 17:44:19.842000,1363.71,46,508,1,100,2022-06-17 17:12:32.343000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,Yes
62a8c3fbe80fa5fd2db18f4f,5b5a822e1ad8270001c4f28d,RETURNED,2022-06-14 17:23:07.405000,,273113.427436,41,2982,8,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c4b2a00637a10c45d6db,61099879ad45eb8f3c0db110,APPROVED,2022-06-14 17:26:12.948000,2022-06-14 17:40:53.806000,880.858,29,1029,1,100,2022-06-17 17:12:32.404000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8c4b89677a98740e42f01,60bebdec81297725b80fd773,RETURNED,2022-06-14 17:26:19.464000,,272921.397147,70,1495,17,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c4ffe4ec402caf82b61d,62a3155c5cd5a19c5b1c8318,RETURNED,2022-06-14 17:27:45.988000,,272834.915165,29,37,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c51f0d0c6fd47fcc5e7e,5d3d871e98775f001569addd,APPROVED,2022-06-14 17:28:03.495000,2022-06-14 17:34:12.318000,368.823,62,1252,10,98,2022-06-17 17:12:32.465000,3A6085A8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Yes,Female,No
62a8c5525994336c2a72e1c5,5f98c3f8f2d9be1e75e21709,APPROVED,2022-06-14 17:28:55.859000,2022-06-14 17:33:11.202000,255.343,47,751,1,100,2022-06-17 17:12:32.521000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Male,No
62a8c5899e6faf73179d0511,61071ee0d98a6df6efb59716,RETURNED,2022-06-14 17:29:48.909000,,272712.035312,44,1345,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c5924579ef69362ff64e,60fd080d5476f4a77211bafb,APPROVED,2022-06-14 17:31:57.354000,2022-06-14 17:55:02.928000,1385.574,33,1134,2,100,2022-06-17 17:12:32.582000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8c5ef040492120ae8b421,6266d7c7bfe6d9d74ff4e76f,APPROVED,2022-06-14 17:31:32.650000,2022-06-14 17:56:39.303000,1506.653,52,391,9,95,2022-06-17 17:12:32.639000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8c5f585948048cda97921,60fc5d49ff20168d794fe083,RETURNED,2022-06-14 17:31:35.558000,,272605.423193,23,545,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8c612ea3fbe2279ed0d16,613a7d38b07876db149b6031,RETURNED,2022-06-14 17:32:10.546000,,272570.465358,72,868,9,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
