"","f1e","f2e","language","text","file_name_append","consonant","phoneme","correct"
"1","998.15","2119.57","french","puf","492813_blockNr_1_taskNr_4_trialNr_13_french_recording","p","u","original"
"2","734.15","2192.51","english","fuff","492813_blockNr_1_taskNr_6_trialNr_16_english_recording","f","schwa","original"
"3","245.04","1985.34","German","puf","492814_blockNr_1_taskNr_4_trialNr_15_German_recording","p","u","original"
"4","338.98","1934.29","German","puf","492814_blockNr_1_taskNr_4_trialNr_1_German_recording","p","u","original"
"5","340.05","2170.94","english","feef","492814_blockNr_1_taskNr_6_trialNr_12_english_recording","f","i","original"
"6","940.09","2061.52","french","fif","492817_blockNr_1_taskNr_4_trialNr_11_french_recording","f","i","original"
"7","324.61","1371.88","German","puf","492818_blockNr_1_taskNr_3_trialNr_6_German_recording","p","u","original"
"8","864.42","2760.33","french","pif","492818_blockNr_1_taskNr_4_trialNr_12_french_recording","p","i","original"
"9","609.94","1324.04","German","paf","492821_blockNr_1_taskNr_4_trialNr_18_German_recording","p","schwa","original"
"10","672.17","1367.68","spanish","paf","492821_blockNr_1_taskNr_6_trialNr_12_spanish_recording","p","a","original"
"11","632.12","1290.89","spanish","faf","492821_blockNr_1_taskNr_6_trialNr_8_spanish_recording","f","a","original"
"12","553.72","894.09","english","foff","492821_blockNr_1_taskNr_7_trialNr_14_english_recording","f","o","original"
"13","336.20","1615.25","english","fuff","492821_blockNr_1_taskNr_7_trialNr_17_english_recording","f","schwa","original"
"14","342.01","1723.34","english","fuff","492821_blockNr_1_taskNr_7_trialNr_21_english_recording","f","schwa","original"
"15","507.44","1081.65","German","fof","492824_blockNr_1_taskNr_3_trialNr_5_German_recording","f","o","original"
"16","339.49","2395.50","German","pif","492824_blockNr_1_taskNr_3_trialNr_6_German_recording","p","i","original"
"17","396.81","2095.65","french","pif","492824_blockNr_1_taskNr_4_trialNr_7_french_recording","p","i","original"
"18","736.81","1304.62","spanish","faf","492824_blockNr_1_taskNr_6_trialNr_12_spanish_recording","f","a","original"
"19","761.41","1351.67","spanish","paf","492824_blockNr_1_taskNr_6_trialNr_13_spanish_recording","p","a","original"
"20","335.59","714.84","spanish","fuf","492824_blockNr_1_taskNr_6_trialNr_16_spanish_recording","f","u","original"
"21","574.33","1406.54","english","puff","492825_blockNr_1_taskNr_7_trialNr_23_english_recording","p","schwa","original"
"22","1171.57","2401.53","french","pif","492828_blockNr_1_taskNr_3_trialNr_12_french_recording","p","i","original"
"23","456.22","1046.04","German","fof","492828_blockNr_1_taskNr_4_trialNr_6_German_recording","f","o","original"
"24","833.76","1987.90","German","fuf","492828_blockNr_1_taskNr_4_trialNr_8_German_recording","f","u","original"
"25","614.90","2405.22","spanish","pof","492828_blockNr_1_taskNr_6_trialNr_19_spanish_recording","p","o","original"
"26","1182.88","2537.73","spanish","pif","492828_blockNr_1_taskNr_6_trialNr_20_spanish_recording","p","i","original"
"27","486.24","1602.39","french","fof","492835_blockNr_1_taskNr_3_trialNr_24_french_recording","f","o","original"
"28","309.32","2038.36","German","fuf","492835_blockNr_1_taskNr_4_trialNr_13_German_recording","f","u","original"
"29","901.76","2537.59","spanish","fif","492835_blockNr_1_taskNr_6_trialNr_10_spanish_recording","f","i","original"
"30","360.69","859.74","english","foof","492835_blockNr_1_taskNr_7_trialNr_3_english_recording","f","u","original"
"31","444.65","851.05","German","fof","492845_blockNr_1_taskNr_3_trialNr_11_German_recording","f","o","original"
"32","459.57","956.62","German","pof","492845_blockNr_1_taskNr_3_trialNr_21_German_recording","p","o","original"
"33","641.26","1177.88","spanish","faf","492845_blockNr_1_taskNr_6_trialNr_7_spanish_recording","f","a","original"
"34","443.83","1537.64","french","puf","492854_blockNr_1_taskNr_3_trialNr_14_french_recording","p","u","original"
"35","333.01","1870.09","english","peef","492854_blockNr_1_taskNr_6_trialNr_17_english_recording","p","i","original"
"36","330.62","2554.59","German","pif","492856_blockNr_1_taskNr_3_trialNr_20_German_recording","p","i","original"
"37","385.45","1723.02","french","fuf","492856_blockNr_1_taskNr_4_trialNr_6_french_recording","f","u","original"
"38","428.31","983.13","spanish","puf","492856_blockNr_1_taskNr_6_trialNr_19_spanish_recording","p","u","original"
"39","388.46","2369.66","english","peef","492856_blockNr_1_taskNr_7_trialNr_1_english_recording","p","i","original"
"40","307.52","2203.90","english","feef","492856_blockNr_1_taskNr_7_trialNr_5_english_recording","f","i","original"
"41","672.87","1420.56","french","fof","492864_blockNr_1_taskNr_3_trialNr_5_french_recording","f","o","original"
"42","379.28","1273.73","english","poof","492864_blockNr_1_taskNr_6_trialNr_3_english_recording","p","u","original"
"43","420.86","1051.92","english","foof","492864_blockNr_1_taskNr_6_trialNr_7_english_recording","f","u","original"
"44","824.97","1328.56","spanish","fof","492864_blockNr_1_taskNr_7_trialNr_3_spanish_recording","f","o","original"
"45","265.76","2278.31","french","pif","492872_blockNr_1_taskNr_3_trialNr_24_french_recording","p","i","original"
"46","579.84","1127.93","english","puff","492872_blockNr_1_taskNr_6_trialNr_13_english_recording","p","schwa","original"
"47","594.22","1163.47","spanish","puf","492872_blockNr_1_taskNr_7_trialNr_16_spanish_recording","p","u","original"
"48","488.11","1761.45","french","faf","492880_blockNr_1_taskNr_3_trialNr_23_french_recording","f","schwa","original"
"49","357.73","1803.45","english","foof","492882_blockNr_1_taskNr_6_trialNr_11_english_recording","f","u","original"
"50","468.80","1924.93","spanish","fuf","492882_blockNr_1_taskNr_7_trialNr_3_spanish_recording","f","u","original"
"51","624.07","1689.79","french","faf","492909_blockNr_1_taskNr_4_trialNr_2_french_recording","f","schwa","original"
"52","471.22","1672.44","spanish","pif","493072_blockNr_1_taskNr_7_trialNr_10_spanish_recording","p","i","original"
"53","659.15","2508.88","french","pif","493097_blockNr_1_taskNr_4_trialNr_16_french_recording","p","i","original"
"54","807.13","1585.85","spanish","paf","493097_blockNr_1_taskNr_6_trialNr_21_spanish_recording","p","a","original"
"55","618.46","2507.05","spanish","pif","493097_blockNr_1_taskNr_6_trialNr_22_spanish_recording","p","i","original"
"56","641.99","994.94","spanish","fof","493097_blockNr_1_taskNr_6_trialNr_8_spanish_recording","f","o","original"
"57","767.63","1472.89","english","puff","493097_blockNr_1_taskNr_7_trialNr_5_english_recording","p","schwa","original"
"58","749.18","1479.23","english","fuff","493097_blockNr_1_taskNr_7_trialNr_7_english_recording","f","schwa","original"
"59","811.72","1282.76","German","paf","493151_blockNr_1_taskNr_3_trialNr_17_German_recording","p","schwa","original"
"60","332.32","2615.68","english","feef","493151_blockNr_1_taskNr_6_trialNr_8_english_recording","f","i","original"
"61","449.00","2415.45","french","fif","493215_blockNr_1_taskNr_3_trialNr_7_french_recording","f","i","original"
"62","403.07","2187.38","German","pif","493215_blockNr_1_taskNr_4_trialNr_12_German_recording","p","i","original"
"63","498.73","854.39","German","pof","493215_blockNr_1_taskNr_4_trialNr_7_German_recording","p","o","original"
"64","332.90","1747.31","french","fuf","493232_blockNr_1_taskNr_3_trialNr_24_french_recording","f","u","original"
"65","348.84","2305.47","english","feef","493232_blockNr_1_taskNr_7_trialNr_7_english_recording","f","i","original"
"66","440.73","1780.23","German","fif","493272_blockNr_1_taskNr_4_trialNr_1_German_recording","f","i","original"
"67","398.60","1581.20","German","pif","493272_blockNr_1_taskNr_4_trialNr_24_German_recording","p","i","original"
"68","448.51","2022.54","German","fuf","493272_blockNr_1_taskNr_4_trialNr_5_German_recording","f","u","original"
"69","714.33","1434.02","German","faf","493272_blockNr_1_taskNr_4_trialNr_8_German_recording","f","schwa","original"
"70","459.61","2213.62","spanish","fif","493272_blockNr_1_taskNr_6_trialNr_3_spanish_recording","f","i","original"
"71","677.83","2113.46","spanish","puf","493275_blockNr_1_taskNr_6_trialNr_17_spanish_recording","p","u","original"
"72","2195.73","2836.97","english","feef","493275_blockNr_1_taskNr_7_trialNr_1_english_recording","f","i","original"
"73","839.87","2175.05","french","pif","493278_blockNr_1_taskNr_4_trialNr_10_french_recording","p","i","original"
"74","432.08","955.86","spanish","puf","493297_blockNr_1_taskNr_6_trialNr_20_spanish_recording","p","u","original"
"75","424.82","926.34","english","foof","493297_blockNr_1_taskNr_7_trialNr_18_english_recording","f","u","original"
"76","679.28","1198.66","spanish","faf","493310_blockNr_1_taskNr_7_trialNr_2_spanish_recording","f","a","original"
"77","476.92","1139.28","french","pof","493414_blockNr_1_taskNr_4_trialNr_18_french_recording","p","o","original"
"78","378.06","904.43","english","foof","493414_blockNr_1_taskNr_7_trialNr_10_english_recording","f","u","original"
"79","500.25","1747.63","German","puf","493445_blockNr_1_taskNr_4_trialNr_13_German_recording","p","u","original"
"80","481.94","2242.70","German","pif","493445_blockNr_1_taskNr_4_trialNr_15_German_recording","p","i","original"
"81","453.40","2347.62","spanish","fif","493445_blockNr_1_taskNr_7_trialNr_10_spanish_recording","f","i","original"
"82","757.60","1010.30","spanish","fof","493445_blockNr_1_taskNr_7_trialNr_18_spanish_recording","f","o","original"
"83","678.58","1257.56","German","faf","493447_blockNr_1_taskNr_3_trialNr_12_German_recording","f","schwa","original"
"84","620.52","2537.89","German","fif","493447_blockNr_1_taskNr_3_trialNr_5_German_recording","f","i","original"
"85","621.79","1436.40","english","fuff","493453_blockNr_1_taskNr_6_trialNr_6_english_recording","f","schwa","original"
"86","904.27","1183.67","spanish","paf","493453_blockNr_1_taskNr_7_trialNr_7_spanish_recording","p","a","original"
"87","382.37","2710.76","German","fif","493454_blockNr_1_taskNr_4_trialNr_13_German_recording","f","i","original"
"88","647.92","1180.66","english","foff","493454_blockNr_1_taskNr_6_trialNr_11_english_recording","f","o","original"
"89","482.17","1006.47","english","fuff","493454_blockNr_1_taskNr_6_trialNr_9_english_recording","f","schwa","original"
"90","504.54","2263.90","German","fif","493488_blockNr_1_taskNr_3_trialNr_6_German_recording","f","i","original"
"91","352.54","1189.97","German","fuf","493499_blockNr_1_taskNr_4_trialNr_3_German_recording","f","u","original"
"92","769.33","1241.37","German","paf","493522_blockNr_1_taskNr_4_trialNr_12_German_recording","p","schwa","original"
"93","319.14","2688.81","english","feef","493522_blockNr_1_taskNr_6_trialNr_18_english_recording","f","i","original"
"94","480.09","787.55","German","pof","493817_blockNr_1_taskNr_3_trialNr_5_German_recording","p","o","original"
"95","392.80","755.56","english","puff","493817_blockNr_1_taskNr_7_trialNr_8_english_recording","p","schwa","original"
"96","329.66","2219.92","english","peef","493817_blockNr_1_taskNr_7_trialNr_9_english_recording","p","i","original"
"97","789.65","1383.69","German","faf","493828_blockNr_1_taskNr_4_trialNr_7_German_recording","f","schwa","original"
"98","385.62","2417.18","english","feef","493828_blockNr_1_taskNr_6_trialNr_23_english_recording","f","i","original"
"99","374.98","2524.02","english","feef","493860_blockNr_1_taskNr_6_trialNr_12_english_recording","f","i","original"
"100","412.33","1169.85","German","fuf","494162_blockNr_1_taskNr_3_trialNr_11_German_recording","f","u","original"
"101","418.99","771.10","spanish","puf","494162_blockNr_1_taskNr_6_trialNr_20_spanish_recording","p","u","original"
"102","654.70","958.40","english","foff","494162_blockNr_1_taskNr_7_trialNr_13_english_recording","f","o","original"
"103","497.08","2339.53","french","fif","494205_blockNr_1_taskNr_3_trialNr_8_french_recording","f","i","original"
"104","464.20","1290.80","english","puff","494216_blockNr_1_taskNr_6_trialNr_14_english_recording","p","schwa","original"
"105","246.53","2599.03","english","feef","494216_blockNr_1_taskNr_6_trialNr_16_english_recording","f","i","original"
"106","624.52","2418.22","french","pif","499438_blockNr_1_taskNr_3_trialNr_24_french_recording","p","i","original"
"107","565.23","1250.17","french","paf","499438_blockNr_1_taskNr_3_trialNr_3_french_recording","p","schwa","original"
"108","581.74","2178.71","German","pif","499438_blockNr_1_taskNr_4_trialNr_23_German_recording","p","i","original"
"109","322.06","1961.62","German","pif","499438_blockNr_1_taskNr_4_trialNr_4_German_recording","p","i","original"
"110","472.16","1139.05","German","pof","499438_blockNr_1_taskNr_4_trialNr_7_German_recording","p","o","original"
"111","368.13","835.28","english","foof","499438_blockNr_1_taskNr_6_trialNr_12_english_recording","f","u","original"
"112","684.53","999.62","english","foff","499438_blockNr_1_taskNr_6_trialNr_23_english_recording","f","o","original"
"113","698.72","2273.34","spanish","fuf","499438_blockNr_1_taskNr_7_trialNr_19_spanish_recording","f","u","original"
"114","418.43","1750.74","German","fuf","499441_blockNr_1_taskNr_4_trialNr_14_German_recording","f","u","original"
"115","364.58","2104.27","spanish","fif","499441_blockNr_1_taskNr_6_trialNr_14_spanish_recording","f","i","original"
"116","729.71","1325.82","english","puff","499441_blockNr_1_taskNr_7_trialNr_2_english_recording","p","schwa","original"
"117","388.67","831.26","German","fof","499444_blockNr_1_taskNr_3_trialNr_1_German_recording","f","o","original"
"118","563.84","1689.92","french","fuf","499444_blockNr_1_taskNr_4_trialNr_17_french_recording","f","u","original"
"119","846.05","1326.35","German","faf","499451_blockNr_1_taskNr_3_trialNr_9_German_recording","f","schwa","original"
"120","851.86","1870.55","German","fuf","499454_blockNr_1_taskNr_4_trialNr_22_German_recording","f","u","original"
"121","631.53","2225.35","english","peef","499454_blockNr_1_taskNr_6_trialNr_7_english_recording","p","i","original"
"122","395.44","917.86","spanish","puf","499454_blockNr_1_taskNr_7_trialNr_19_spanish_recording","p","u","original"
"123","547.86","1030.20","english","fuff","499456_blockNr_1_taskNr_7_trialNr_14_english_recording","f","schwa","original"
"124","624.06","1177.27","German","faf","499458_blockNr_1_taskNr_4_trialNr_1_German_recording","f","schwa","original"
"125","642.91","1247.82","German","faf","499458_blockNr_1_taskNr_4_trialNr_3_German_recording","f","schwa","original"
"126","589.22","872.09","english","puff","499458_blockNr_1_taskNr_6_trialNr_16_english_recording","p","schwa","original"
"127","541.66","938.79","spanish","fof","499458_blockNr_1_taskNr_7_trialNr_14_spanish_recording","f","o","original"
"128","338.89","2101.87","German","fif","499461_blockNr_1_taskNr_4_trialNr_10_German_recording","f","i","original"
"129","898.25","2103.02","German","pif","499461_blockNr_1_taskNr_4_trialNr_6_German_recording","p","i","original"
"130","371.40","1587.65","spanish","fuf","499461_blockNr_1_taskNr_6_trialNr_4_spanish_recording","f","u","original"
"131","421.91","1057.49","spanish","faf","499461_blockNr_1_taskNr_6_trialNr_8_spanish_recording","f","a","original"
"132","364.78","1841.16","German","fuf","499467_blockNr_1_taskNr_3_trialNr_19_German_recording","f","u","original"
"133","428.17","1790.32","french","fuf","499467_blockNr_1_taskNr_4_trialNr_21_french_recording","f","u","original"
"134","389.88","2409.06","french","pif","499467_blockNr_1_taskNr_4_trialNr_4_french_recording","p","i","original"
"135","598.90","1436.39","spanish","pif","499468_blockNr_1_taskNr_6_trialNr_17_spanish_recording","p","i","original"
"136","715.12","1362.36","spanish","paf","499468_blockNr_1_taskNr_6_trialNr_2_spanish_recording","p","a","original"
"137","685.18","1222.95","spanish","faf","499468_blockNr_1_taskNr_6_trialNr_3_spanish_recording","f","a","original"
"138","336.34","1942.44","english","peef","499468_blockNr_1_taskNr_7_trialNr_16_english_recording","p","i","original"
"139","598.42","1723.07","french","pof","499470_blockNr_1_taskNr_4_trialNr_2_french_recording","p","o","original"
"140","383.92","2613.38","spanish","fif","499470_blockNr_1_taskNr_6_trialNr_1_spanish_recording","f","i","original"
"141","459.43","892.54","english","fuff","499470_blockNr_1_taskNr_7_trialNr_12_english_recording","f","schwa","original"
"142","736.54","2186.97","spanish","pof","499473_blockNr_1_taskNr_7_trialNr_10_spanish_recording","p","o","original"
"143","957.11","2228.24","German","pif","499474_blockNr_1_taskNr_3_trialNr_20_German_recording","p","i","original"
"144","611.33","2152.57","German","fif","499474_blockNr_1_taskNr_3_trialNr_22_German_recording","f","i","original"
"145","761.94","1755.40","french","faf","499474_blockNr_1_taskNr_4_trialNr_1_french_recording","f","schwa","original"
"146","705.66","1163.71","english","foff","499474_blockNr_1_taskNr_6_trialNr_9_english_recording","f","o","original"
"147","706.76","1508.73","spanish","puf","499474_blockNr_1_taskNr_7_trialNr_19_spanish_recording","p","u","original"
"148","403.57","1120.92","German","fof","499475_blockNr_1_taskNr_3_trialNr_11_German_recording","f","o","original"
"149","319.66","1888.66","German","fuf","499475_blockNr_1_taskNr_3_trialNr_5_German_recording","f","u","original"
"150","773.87","1312.04","english","foof","499475_blockNr_1_taskNr_6_trialNr_11_english_recording","f","u","original"
"151","472.94","1365.40","french","pof","499477_blockNr_1_taskNr_3_trialNr_9_french_recording","p","o","original"
"152","431.10","855.84","German","fof","499477_blockNr_1_taskNr_4_trialNr_2_German_recording","f","o","original"
"153","1408.30","2013.27","french","fuf","499480_blockNr_1_taskNr_3_trialNr_7_french_recording","f","u","original"
"154","354.64","978.92","German","pof","499480_blockNr_1_taskNr_4_trialNr_24_German_recording","p","o","original"
"155","641.17","2174.31","english","feef","499480_blockNr_1_taskNr_6_trialNr_3_english_recording","f","i","original"
"156","378.89","737.95","spanish","fuf","499480_blockNr_1_taskNr_7_trialNr_15_spanish_recording","f","u","original"
"157","773.27","1216.49","German","faf","499483_blockNr_1_taskNr_4_trialNr_18_German_recording","f","schwa","original"
"158","661.31","1111.26","German","faf","499483_blockNr_1_taskNr_4_trialNr_2_German_recording","f","schwa","original"
"159","292.14","2164.07","spanish","pif","499483_blockNr_1_taskNr_7_trialNr_15_spanish_recording","p","i","original"
"160","765.34","1547.59","German","faf","499488_blockNr_1_taskNr_3_trialNr_15_German_recording","f","schwa","original"
"161","999.01","2026.49","french","fuf","499488_blockNr_1_taskNr_4_trialNr_3_french_recording","f","u","original"
"162","327.36","1324.62","spanish","pof","499488_blockNr_1_taskNr_6_trialNr_4_spanish_recording","p","o","original"
"163","421.09","2642.87","english","feef","499488_blockNr_1_taskNr_7_trialNr_13_english_recording","f","i","original"
"164","588.09","1577.41","english","fuff","499488_blockNr_1_taskNr_7_trialNr_17_english_recording","f","schwa","original"
"165","472.16","1493.14","english","foff","499488_blockNr_1_taskNr_7_trialNr_2_english_recording","f","o","original"
"166","441.59","2403.26","french","fif","499489_blockNr_1_taskNr_4_trialNr_2_french_recording","f","i","original"
"167","914.12","1292.73","english","puff","499497_blockNr_1_taskNr_6_trialNr_10_english_recording","p","schwa","original"
"168","654.69","1138.78","spanish","pof","499497_blockNr_1_taskNr_7_trialNr_10_spanish_recording","p","o","original"
"169","626.35","1248.81","french","fof","499504_blockNr_1_taskNr_4_trialNr_18_french_recording","f","o","original"
"170","793.04","1325.37","spanish","paf","499504_blockNr_1_taskNr_6_trialNr_6_spanish_recording","p","a","original"
"171","635.54","1627.01","french","faf","499507_blockNr_1_taskNr_3_trialNr_10_french_recording","f","schwa","original"
"172","821.90","1247.55","German","faf","499507_blockNr_1_taskNr_4_trialNr_21_German_recording","f","schwa","original"
"173","367.62","2203.02","english","peef","499507_blockNr_1_taskNr_7_trialNr_16_english_recording","p","i","original"
"174","507.90","1278.37","english","poof","499507_blockNr_1_taskNr_7_trialNr_7_english_recording","p","u","original"
"175","460.01","858.15","German","faf","499511_blockNr_1_taskNr_3_trialNr_2_German_recording","f","schwa","original"
"176","312.43","2353.74","french","fif","499511_blockNr_1_taskNr_4_trialNr_3_french_recording","f","i","original"
"177","628.47","1234.43","english","foff","499511_blockNr_1_taskNr_6_trialNr_6_english_recording","f","o","original"
"178","322.65","2444.03","spanish","pif","499511_blockNr_1_taskNr_7_trialNr_23_spanish_recording","p","i","original"
"179","737.70","1338.11","spanish","faf","499511_blockNr_1_taskNr_7_trialNr_7_spanish_recording","f","a","original"
"180","353.75","2352.53","spanish","pif","499511_blockNr_1_taskNr_7_trialNr_8_spanish_recording","p","i","original"
"181","856.45","1484.29","German","paf","499512_blockNr_1_taskNr_4_trialNr_2_German_recording","p","schwa","original"
"182","716.47","988.27","english","fuff","499512_blockNr_1_taskNr_7_trialNr_2_english_recording","f","schwa","original"
