"","f1e","f2e","language","text","participant","file_r","_","consonant","phoneme","prolific_id","l1"
"1",262,2266.81,"french","fif","492814","blockNr","1","f","i","5dc483cf74939e34e55c3619","English"
"2",293.5,1912.76,"french","fuf","492814","blockNr","1","f","u","5dc483cf74939e34e55c3619","English"
"3",450.73,1832.94,"french","faf","492814","blockNr","1","f","schwa","5dc483cf74939e34e55c3619","English"
"4",315.55,1870.97,"french","fuf","492814","blockNr","1","f","u","5dc483cf74939e34e55c3619","English"
"5",518.81,1763.09,"french","faf","492814","blockNr","1","f","schwa","5dc483cf74939e34e55c3619","English"
"6",297.38,1959.95,"french","puf","492814","blockNr","1","p","u","5dc483cf74939e34e55c3619","English"
"7",309.94,1913.88,"french","fuf","492814","blockNr","1","f","u","5dc483cf74939e34e55c3619","English"
"8",354.87,1303.4,"french","pof","492814","blockNr","1","p","o","5dc483cf74939e34e55c3619","English"
"9",238.37,2159.54,"french","pif","492814","blockNr","1","p","i","5dc483cf74939e34e55c3619","English"
"10",493.74,1178.72,"french","fof","492814","blockNr","1","f","o","5dc483cf74939e34e55c3619","English"
"11",331.95,1789.89,"french","pif","492814","blockNr","1","p","i","5dc483cf74939e34e55c3619","English"
"12",257.04,2175.48,"french","fif","492814","blockNr","1","f","i","5dc483cf74939e34e55c3619","English"
"13",362.41,1841.97,"french","paf","492814","blockNr","1","p","schwa","5dc483cf74939e34e55c3619","English"
"14",355.79,1544.68,"french","pof","492814","blockNr","1","p","o","5dc483cf74939e34e55c3619","English"
"15",475.57,1967.87,"french","fof","492814","blockNr","1","f","o","5dc483cf74939e34e55c3619","English"
"16",493.65,1678.14,"french","paf","492814","blockNr","1","p","schwa","5dc483cf74939e34e55c3619","English"
"17",520.46,1826.21,"french","paf","492814","blockNr","1","p","schwa","5dc483cf74939e34e55c3619","English"
"18",256.58,2097.07,"french","pif","492814","blockNr","1","p","i","5dc483cf74939e34e55c3619","English"
"19",481.73,1341.53,"french","pof","492814","blockNr","1","p","o","5dc483cf74939e34e55c3619","English"
"20",299.37,1711.62,"french","puf","492814","blockNr","1","p","u","5dc483cf74939e34e55c3619","English"
