"","f1e","f2e","language","text","file_name_append","consonant","phoneme"
"1",378.09,1937.08,"french","fuf","509313_blockNr_1_taskNr_3_trialNr_10_french_recording","f","u"
"2",547.23,1554.66,"french","fof","509313_blockNr_1_taskNr_3_trialNr_11_french_recording","f","o"
"3",330.68,2600.55,"french","pif","509313_blockNr_1_taskNr_3_trialNr_12_french_recording","p","i"
"4",509.45,1524.38,"french","pof","509313_blockNr_1_taskNr_3_trialNr_13_french_recording","p","o"
"5",581.87,1813.96,"french","paf","509313_blockNr_1_taskNr_3_trialNr_14_french_recording","p","schwa"
"6",292.4,2366.84,"french","pif","509313_blockNr_1_taskNr_3_trialNr_15_french_recording","p","i"
"7",545.06,1794.9,"french","paf","509313_blockNr_1_taskNr_3_trialNr_16_french_recording","p","schwa"
"8",679.34,1678.47,"french","faf","509313_blockNr_1_taskNr_3_trialNr_17_french_recording","f","schwa"
"9",730.12,1492.2,"french","pof","509313_blockNr_1_taskNr_3_trialNr_18_french_recording","p","o"
"10",410.9,1952.96,"french","puf","509313_blockNr_1_taskNr_3_trialNr_19_french_recording","p","u"
"11",579.73,1198.87,"french","fof","509313_blockNr_1_taskNr_3_trialNr_1_french_recording","f","o"
"12",304.31,2494.42,"french","fif","509313_blockNr_1_taskNr_3_trialNr_20_french_recording","f","i"
"13",846.98,2074.77,"french","puf","509313_blockNr_1_taskNr_3_trialNr_21_french_recording","p","u"
"14",325.5,2359.16,"french","pif","509313_blockNr_1_taskNr_3_trialNr_22_french_recording","p","i"
"15",387.19,1976.85,"french","fuf","509313_blockNr_1_taskNr_3_trialNr_23_french_recording","f","u"
"16",576.12,1704.84,"french","faf","509313_blockNr_1_taskNr_3_trialNr_24_french_recording","f","schwa"
"17",581.76,1506.29,"french","pof","509313_blockNr_1_taskNr_3_trialNr_2_french_recording","p","o"
"18",724.88,1556.36,"french","paf","509313_blockNr_1_taskNr_3_trialNr_3_french_recording","p","schwa"
"19",424.16,1790.15,"french","puf","509313_blockNr_1_taskNr_3_trialNr_4_french_recording","p","u"
"20",562.98,1841.53,"french","fuf","509313_blockNr_1_taskNr_3_trialNr_5_french_recording","f","u"
"21",722.81,1473.72,"french","fof","509313_blockNr_1_taskNr_3_trialNr_6_french_recording","f","o"
"22",283.74,2119.02,"french","fif","509313_blockNr_1_taskNr_3_trialNr_7_french_recording","f","i"
"23",732.38,1721.22,"french","faf","509313_blockNr_1_taskNr_3_trialNr_8_french_recording","f","schwa"
"24",333.65,2550.63,"french","fif","509313_blockNr_1_taskNr_3_trialNr_9_french_recording","f","i"
"25",731.07,1128.82,"German","paf","509313_blockNr_1_taskNr_4_trialNr_10_German_recording","p","schwa"
"26",565.25,1788.47,"German","fuf","509313_blockNr_1_taskNr_4_trialNr_11_German_recording","f","u"
"27",334.1,2029.08,"German","fif","509313_blockNr_1_taskNr_4_trialNr_12_German_recording","f","i"
"28",328.25,1729.75,"German","fuf","509313_blockNr_1_taskNr_4_trialNr_13_German_recording","f","u"
"29",342.66,1816.53,"German","puf","509313_blockNr_1_taskNr_4_trialNr_14_German_recording","p","u"
"30",419.12,1063.95,"German","fof","509313_blockNr_1_taskNr_4_trialNr_15_German_recording","f","o"
"31",818.93,1373.43,"German","faf","509313_blockNr_1_taskNr_4_trialNr_16_German_recording","f","schwa"
"32",432.54,1039.17,"German","pof","509313_blockNr_1_taskNr_4_trialNr_17_German_recording","p","o"
"33",438.26,1881.57,"German","fuf","509313_blockNr_1_taskNr_4_trialNr_18_German_recording","f","u"
"34",422.69,1785.04,"German","puf","509313_blockNr_1_taskNr_4_trialNr_19_German_recording","p","u"
"35",750.28,1393.73,"German","paf","509313_blockNr_1_taskNr_4_trialNr_1_German_recording","p","schwa"
"36",331.6,1902.39,"German","pif","509313_blockNr_1_taskNr_4_trialNr_20_German_recording","p","i"
"37",344.43,1709.04,"German","puf","509313_blockNr_1_taskNr_4_trialNr_21_German_recording","p","u"
"38",340.15,2040.95,"German","pif","509313_blockNr_1_taskNr_4_trialNr_22_German_recording","p","i"
"39",431.79,1263.34,"German","fof","509313_blockNr_1_taskNr_4_trialNr_23_German_recording","f","o"
"40",512.65,1258.39,"German","fof","509313_blockNr_1_taskNr_4_trialNr_24_German_recording","f","o"
"41",316.55,2186.34,"German","fif","509313_blockNr_1_taskNr_4_trialNr_2_German_recording","f","i"
"42",246.73,2475.93,"German","fif","509313_blockNr_1_taskNr_4_trialNr_3_German_recording","f","i"
"43",725.63,1186.28,"German","faf","509313_blockNr_1_taskNr_4_trialNr_4_German_recording","f","schwa"
"44",767.39,1220.22,"German","paf","509313_blockNr_1_taskNr_4_trialNr_5_German_recording","p","schwa"
"45",282.99,1412.83,"German","pif","509313_blockNr_1_taskNr_4_trialNr_6_German_recording","p","i"
"46",396.8,1031.33,"German","pof","509313_blockNr_1_taskNr_4_trialNr_7_German_recording","p","o"
"47",782.11,1223,"German","faf","509313_blockNr_1_taskNr_4_trialNr_8_German_recording","f","schwa"
"48",393.81,1081,"German","pof","509313_blockNr_1_taskNr_4_trialNr_9_German_recording","p","o"
"49",281.99,1014.06,"english","peef","509313_blockNr_1_taskNr_6_trialNr_10_english_recording","p","i"
"50",293.03,2093.8,"english","feef","509313_blockNr_1_taskNr_6_trialNr_11_english_recording","f","i"
"51",291.7,1198.02,"english","peef","509313_blockNr_1_taskNr_6_trialNr_12_english_recording","p","i"
"52",831.52,1164.76,"english","foff","509313_blockNr_1_taskNr_6_trialNr_13_english_recording","f","o"
"53",372.66,1517.35,"english","poof","509313_blockNr_1_taskNr_6_trialNr_14_english_recording","p","u"
"54",786.37,1165.29,"english","foff","509313_blockNr_1_taskNr_6_trialNr_15_english_recording","f","o"
"55",687.95,1135.12,"english","poff","509313_blockNr_1_taskNr_6_trialNr_16_english_recording","p","o"
"56",818.95,1228.7,"english","fuff","509313_blockNr_1_taskNr_6_trialNr_17_english_recording","f","schwa"
"57",856.04,1160.53,"english","puff","509313_blockNr_1_taskNr_6_trialNr_18_english_recording","p","schwa"
"58",414.59,1502.68,"english","poof","509313_blockNr_1_taskNr_6_trialNr_19_english_recording","p","u"
"59",709.89,1100.04,"english","fuff","509313_blockNr_1_taskNr_6_trialNr_1_english_recording","f","schwa"
"60",798.85,1285.42,"english","poff","509313_blockNr_1_taskNr_6_trialNr_20_english_recording","p","o"
"61",315.83,1566.49,"english","foof","509313_blockNr_1_taskNr_6_trialNr_21_english_recording","f","u"
"62",295.85,1481.46,"english","peef","509313_blockNr_1_taskNr_6_trialNr_22_english_recording","p","i"
"63",438.61,1443.03,"english","foof","509313_blockNr_1_taskNr_6_trialNr_23_english_recording","f","u"
"64",267.08,1596.12,"english","feef","509313_blockNr_1_taskNr_6_trialNr_24_english_recording","f","i"
"65",566.85,1394,"english","poof","509313_blockNr_1_taskNr_6_trialNr_2_english_recording","p","u"
"66",744.17,1114.84,"english","puff","509313_blockNr_1_taskNr_6_trialNr_3_english_recording","p","schwa"
"67",892.35,1207.73,"english","poff","509313_blockNr_1_taskNr_6_trialNr_4_english_recording","p","o"
"68",356.7,1433.65,"english","foof","509313_blockNr_1_taskNr_6_trialNr_5_english_recording","f","u"
"69",787.09,1124.67,"english","foff","509313_blockNr_1_taskNr_6_trialNr_6_english_recording","f","o"
"70",337.95,2312.84,"english","feef","509313_blockNr_1_taskNr_6_trialNr_7_english_recording","f","i"
"71",520.77,1311.96,"english","puff","509313_blockNr_1_taskNr_6_trialNr_8_english_recording","p","schwa"
"72",655.49,1371.78,"english","fuff","509313_blockNr_1_taskNr_6_trialNr_9_english_recording","f","schwa"
"73",406.13,1438.41,"french","fuf","509318_blockNr_1_taskNr_3_trialNr_10_french_recording","f","u"
"74",370.42,1402.57,"french","puf","509318_blockNr_1_taskNr_3_trialNr_11_french_recording","p","u"
"75",409.95,2608.85,"french","pif","509318_blockNr_1_taskNr_3_trialNr_12_french_recording","p","i"
"76",707.73,1578.69,"french","faf","509318_blockNr_1_taskNr_3_trialNr_13_french_recording","f","schwa"
"77",630.66,1269.36,"french","pof","509318_blockNr_1_taskNr_3_trialNr_14_french_recording","p","o"
"78",710.14,1708.7,"french","paf","509318_blockNr_1_taskNr_3_trialNr_15_french_recording","p","schwa"
"79",720.96,1357.38,"french","pof","509318_blockNr_1_taskNr_3_trialNr_16_french_recording","p","o"
"80",438.88,2397.61,"french","pif","509318_blockNr_1_taskNr_3_trialNr_17_french_recording","p","i"
"81",379.93,1609.71,"french","puf","509318_blockNr_1_taskNr_3_trialNr_18_french_recording","p","u"
"82",617.85,1801.27,"french","paf","509318_blockNr_1_taskNr_3_trialNr_19_french_recording","p","schwa"
"83",1178.56,2408.46,"french","fuf","509318_blockNr_1_taskNr_3_trialNr_1_french_recording","f","u"
"84",688.33,1636.17,"french","faf","509318_blockNr_1_taskNr_3_trialNr_20_french_recording","f","schwa"
"85",687.91,1341.7,"french","fof","509318_blockNr_1_taskNr_3_trialNr_21_french_recording","f","o"
"86",704.24,1653.81,"french","paf","509318_blockNr_1_taskNr_3_trialNr_22_french_recording","p","schwa"
"87",643.98,1343.02,"french","pof","509318_blockNr_1_taskNr_3_trialNr_23_french_recording","p","o"
"88",600.59,1510.15,"french","fof","509318_blockNr_1_taskNr_3_trialNr_24_french_recording","f","o"
"89",1622.12,2714.35,"french","pif","509318_blockNr_1_taskNr_3_trialNr_2_french_recording","p","i"
"90",525.51,1694.46,"french","fof","509318_blockNr_1_taskNr_3_trialNr_4_french_recording","f","o"
"91",447.38,1399.33,"french","puf","509318_blockNr_1_taskNr_3_trialNr_5_french_recording","p","u"
"92",369.7,1638.17,"french","fuf","509318_blockNr_1_taskNr_3_trialNr_6_french_recording","f","u"
"93",701.58,1533.52,"french","faf","509318_blockNr_1_taskNr_3_trialNr_7_french_recording","f","schwa"
"94",386.14,2437.76,"french","fif","509318_blockNr_1_taskNr_3_trialNr_8_french_recording","f","i"
"95",416.75,2471.54,"french","fif","509318_blockNr_1_taskNr_3_trialNr_9_french_recording","f","i"
"96",375.76,1802.98,"German","puf","509318_blockNr_1_taskNr_4_trialNr_10_German_recording","p","u"
"97",419.23,821.22,"German","pof","509318_blockNr_1_taskNr_4_trialNr_11_German_recording","p","o"
"98",776.08,1286.13,"German","paf","509318_blockNr_1_taskNr_4_trialNr_12_German_recording","p","schwa"
"99",467.03,1244.76,"German","fof","509318_blockNr_1_taskNr_4_trialNr_13_German_recording","f","o"
"100",411.87,2017.53,"German","fuf","509318_blockNr_1_taskNr_4_trialNr_14_German_recording","f","u"
"101",429.19,888.77,"German","pof","509318_blockNr_1_taskNr_4_trialNr_15_German_recording","p","o"
"102",378.64,2651.81,"German","pif","509318_blockNr_1_taskNr_4_trialNr_16_German_recording","p","i"
"103",442.42,1548.89,"German","fof","509318_blockNr_1_taskNr_4_trialNr_17_German_recording","f","o"
"104",856.58,1383.26,"German","faf","509318_blockNr_1_taskNr_4_trialNr_18_German_recording","f","schwa"
"105",864.8,1471.83,"German","faf","509318_blockNr_1_taskNr_4_trialNr_19_German_recording","f","schwa"
"106",405.02,854.88,"German","pof","509318_blockNr_1_taskNr_4_trialNr_1_German_recording","p","o"
"107",853.9,1411.72,"German","paf","509318_blockNr_1_taskNr_4_trialNr_20_German_recording","p","schwa"
"108",425.57,899.43,"German","fof","509318_blockNr_1_taskNr_4_trialNr_21_German_recording","f","o"
"109",312.09,1020.33,"German","puf","509318_blockNr_1_taskNr_4_trialNr_22_German_recording","p","u"
"110",399.8,2491.86,"German","fif","509318_blockNr_1_taskNr_4_trialNr_23_German_recording","f","i"
"111",353.81,2195.22,"German","fuf","509318_blockNr_1_taskNr_4_trialNr_24_German_recording","f","u"
"112",407.4,2344.79,"German","fif","509318_blockNr_1_taskNr_4_trialNr_2_German_recording","f","i"
"113",387.99,1743.99,"German","fuf","509318_blockNr_1_taskNr_4_trialNr_3_German_recording","f","u"
"114",418.31,2367.32,"German","fif","509318_blockNr_1_taskNr_4_trialNr_4_German_recording","f","i"
"115",383.68,2520.74,"German","pif","509318_blockNr_1_taskNr_4_trialNr_5_German_recording","p","i"
"116",324.92,1364.17,"German","puf","509318_blockNr_1_taskNr_4_trialNr_6_German_recording","p","u"
"117",757.87,1398.3,"German","faf","509318_blockNr_1_taskNr_4_trialNr_7_German_recording","f","schwa"
"118",792.85,1352.33,"German","paf","509318_blockNr_1_taskNr_4_trialNr_8_German_recording","p","schwa"
"119",390.62,2592.5,"German","pif","509318_blockNr_1_taskNr_4_trialNr_9_German_recording","p","i"
"120",455.57,1163.84,"english","poof","509318_blockNr_1_taskNr_6_trialNr_10_english_recording","p","u"
"121",893.8,1320.34,"english","puff","509318_blockNr_1_taskNr_6_trialNr_11_english_recording","p","schwa"
"122",842.26,1305.33,"english","fuff","509318_blockNr_1_taskNr_6_trialNr_12_english_recording","f","schwa"
"123",396.35,2630.23,"english","feef","509318_blockNr_1_taskNr_6_trialNr_13_english_recording","f","i"
"124",502,1286.79,"english","foof","509318_blockNr_1_taskNr_6_trialNr_14_english_recording","f","u"
"125",877.17,1218.84,"english","foff","509318_blockNr_1_taskNr_6_trialNr_15_english_recording","f","o"
"126",373.03,2647.92,"english","peef","509318_blockNr_1_taskNr_6_trialNr_16_english_recording","p","i"
"127",439.47,2538.11,"english","feef","509318_blockNr_1_taskNr_6_trialNr_17_english_recording","f","i"
"128",970.15,1255.06,"english","poff","509318_blockNr_1_taskNr_6_trialNr_18_english_recording","p","o"
"129",421.82,2644.53,"english","feef","509318_blockNr_1_taskNr_6_trialNr_19_english_recording","f","i"
"130",817.84,1318.92,"english","fuff","509318_blockNr_1_taskNr_6_trialNr_1_english_recording","f","schwa"
"131",819.08,1354.77,"english","fuff","509318_blockNr_1_taskNr_6_trialNr_20_english_recording","f","schwa"
"132",835.36,1293.85,"english","puff","509318_blockNr_1_taskNr_6_trialNr_21_english_recording","p","schwa"
"133",450.02,1114.32,"english","poof","509318_blockNr_1_taskNr_6_trialNr_22_english_recording","p","u"
"134",408.42,2777.07,"english","peef","509318_blockNr_1_taskNr_6_trialNr_23_english_recording","p","i"
"135",729.76,1160.56,"english","foff","509318_blockNr_1_taskNr_6_trialNr_24_english_recording","f","o"
"136",443.36,1118.46,"english","poof","509318_blockNr_1_taskNr_6_trialNr_2_english_recording","p","u"
"137",884.39,1226.57,"english","poff","509318_blockNr_1_taskNr_6_trialNr_3_english_recording","p","o"
"138",878.79,1381.24,"english","puff","509318_blockNr_1_taskNr_6_trialNr_4_english_recording","p","schwa"
"139",464.94,1325.78,"english","foof","509318_blockNr_1_taskNr_6_trialNr_5_english_recording","f","u"
"140",397.7,2691.86,"english","peef","509318_blockNr_1_taskNr_6_trialNr_6_english_recording","p","i"
"141",945.11,1312.25,"english","poff","509318_blockNr_1_taskNr_6_trialNr_7_english_recording","p","o"
"142",448.11,1383.64,"english","foof","509318_blockNr_1_taskNr_6_trialNr_8_english_recording","f","u"
"143",902.21,1279.9,"english","foff","509318_blockNr_1_taskNr_6_trialNr_9_english_recording","f","o"
