"","file_name_append","text","language","word","file_copy"
"1","500392_blockNr_1_taskNr_3_trialNr_2_french_recording","pif","french","p_i","500392"
"2","500392_blockNr_1_taskNr_3_trialNr_4_french_recording","paf","french","p_schwa","500392"
"3","500392_blockNr_1_taskNr_3_trialNr_5_french_recording","puf","french","p_u","500392"
"4","500392_blockNr_1_taskNr_3_trialNr_6_french_recording","pif","french","p_i","500392"
"5","500392_blockNr_1_taskNr_3_trialNr_8_french_recording","pof","french","p_o","500392"
"6","500392_blockNr_1_taskNr_3_trialNr_10_french_recording","pof","french","p_o","500392"
"7","500392_blockNr_1_taskNr_3_trialNr_13_french_recording","puf","french","p_u","500392"
"8","500392_blockNr_1_taskNr_3_trialNr_16_french_recording","pif","french","p_i","500392"
"9","500392_blockNr_1_taskNr_3_trialNr_17_french_recording","paf","french","p_schwa","500392"
"10","500392_blockNr_1_taskNr_3_trialNr_20_french_recording","paf","french","p_schwa","500392"
"11","500392_blockNr_1_taskNr_3_trialNr_22_french_recording","pof","french","p_o","500392"
"12","500392_blockNr_1_taskNr_3_trialNr_23_french_recording","puf","french","p_u","500392"
"13","500392_blockNr_1_taskNr_4_trialNr_2_German_recording","paf","German","p_schwa","500392"
"14","500392_blockNr_1_taskNr_4_trialNr_3_German_recording","pof","German","p_o","500392"
"15","500392_blockNr_1_taskNr_4_trialNr_11_German_recording","pif","German","p_i","500392"
"16","500392_blockNr_1_taskNr_4_trialNr_13_German_recording","pif","German","p_i","500392"
"17","500392_blockNr_1_taskNr_4_trialNr_14_German_recording","pof","German","p_o","500392"
"18","500392_blockNr_1_taskNr_4_trialNr_17_German_recording","paf","German","p_schwa","500392"
"19","500392_blockNr_1_taskNr_4_trialNr_19_German_recording","puf","German","p_u","500392"
"20","500392_blockNr_1_taskNr_4_trialNr_20_German_recording","puf","German","p_u","500392"
"21","500392_blockNr_1_taskNr_4_trialNr_21_German_recording","paf","German","p_schwa","500392"
"22","500392_blockNr_1_taskNr_4_trialNr_22_German_recording","pof","German","p_o","500392"
"23","500392_blockNr_1_taskNr_4_trialNr_23_German_recording","puf","German","p_u","500392"
"24","500392_blockNr_1_taskNr_4_trialNr_24_German_recording","pif","German","p_i","500392"
"25","500392_blockNr_1_taskNr_6_trialNr_1_spanish_recording","pof","spanish","p_o","500392"
"26","500392_blockNr_1_taskNr_6_trialNr_2_spanish_recording","paf","spanish","p_a","500392"
"27","500392_blockNr_1_taskNr_6_trialNr_3_spanish_recording","puf","spanish","p_u","500392"
"28","500392_blockNr_1_taskNr_6_trialNr_6_spanish_recording","pif","spanish","p_i","500392"
"29","500392_blockNr_1_taskNr_6_trialNr_7_spanish_recording","puf","spanish","p_u","500392"
"30","500392_blockNr_1_taskNr_6_trialNr_8_spanish_recording","pof","spanish","p_o","500392"
"31","500392_blockNr_1_taskNr_6_trialNr_10_spanish_recording","paf","spanish","p_a","500392"
"32","500392_blockNr_1_taskNr_6_trialNr_13_spanish_recording","paf","spanish","p_a","500392"
"33","500392_blockNr_1_taskNr_6_trialNr_14_spanish_recording","puf","spanish","p_u","500392"
"34","500392_blockNr_1_taskNr_6_trialNr_16_spanish_recording","pof","spanish","p_o","500392"
"35","500392_blockNr_1_taskNr_6_trialNr_18_spanish_recording","pif","spanish","p_i","500392"
"36","500392_blockNr_1_taskNr_6_trialNr_21_spanish_recording","pif","spanish","p_i","500392"
"37","500392_blockNr_1_taskNr_7_trialNr_2_english_recording","puff","english","p_schwa","500392"
"38","500392_blockNr_1_taskNr_7_trialNr_5_english_recording","peef","english","p_i","500392"
"39","500392_blockNr_1_taskNr_7_trialNr_6_english_recording","puff","english","p_schwa","500392"
"40","500392_blockNr_1_taskNr_7_trialNr_7_english_recording","poof","english","p_u","500392"
"41","500392_blockNr_1_taskNr_7_trialNr_8_english_recording","poff","english","p_o","500392"
"42","500392_blockNr_1_taskNr_7_trialNr_10_english_recording","puff","english","p_schwa","500392"
"43","500392_blockNr_1_taskNr_7_trialNr_11_english_recording","poff","english","p_o","500392"
"44","500392_blockNr_1_taskNr_7_trialNr_13_english_recording","poff","english","p_o","500392"
"45","500392_blockNr_1_taskNr_7_trialNr_15_english_recording","peef","english","p_i","500392"
"46","500392_blockNr_1_taskNr_7_trialNr_16_english_recording","poof","english","p_u","500392"
"47","500392_blockNr_1_taskNr_7_trialNr_18_english_recording","peef","english","p_i","500392"
"48","500392_blockNr_1_taskNr_7_trialNr_22_english_recording","poof","english","p_u","500392"
"49","492813_blockNr_1_taskNr_3_trialNr_1_German_recording","pif","German","p_i","492813"
"50","492813_blockNr_1_taskNr_3_trialNr_5_German_recording","paf","German","p_schwa","492813"
"51","492813_blockNr_1_taskNr_3_trialNr_6_German_recording","pof","German","p_o","492813"
"52","492813_blockNr_1_taskNr_3_trialNr_10_German_recording","paf","German","p_schwa","492813"
"53","492813_blockNr_1_taskNr_3_trialNr_11_German_recording","puf","German","p_u","492813"
"54","492813_blockNr_1_taskNr_3_trialNr_12_German_recording","pif","German","p_i","492813"
"55","492813_blockNr_1_taskNr_3_trialNr_13_German_recording","pof","German","p_o","492813"
"56","492813_blockNr_1_taskNr_3_trialNr_15_German_recording","pif","German","p_i","492813"
"57","492813_blockNr_1_taskNr_3_trialNr_19_German_recording","paf","German","p_schwa","492813"
"58","492813_blockNr_1_taskNr_3_trialNr_21_German_recording","pof","German","p_o","492813"
"59","492813_blockNr_1_taskNr_3_trialNr_22_German_recording","puf","German","p_u","492813"
"60","492813_blockNr_1_taskNr_3_trialNr_24_German_recording","puf","German","p_u","492813"
"61","492813_blockNr_1_taskNr_4_trialNr_9_french_recording","pif","french","p_i","492813"
"62","492813_blockNr_1_taskNr_4_trialNr_10_french_recording","puf","french","p_u","492813"
"63","492813_blockNr_1_taskNr_4_trialNr_12_french_recording","paf","french","p_schwa","492813"
"64","492813_blockNr_1_taskNr_4_trialNr_13_french_recording","puf","french","p_u","492813"
"65","492813_blockNr_1_taskNr_4_trialNr_14_french_recording","pof","french","p_o","492813"
"66","492813_blockNr_1_taskNr_4_trialNr_16_french_recording","paf","french","p_schwa","492813"
"67","492813_blockNr_1_taskNr_4_trialNr_17_french_recording","pif","french","p_i","492813"
"68","492813_blockNr_1_taskNr_4_trialNr_18_french_recording","puf","french","p_u","492813"
"69","492813_blockNr_1_taskNr_4_trialNr_20_french_recording","paf","french","p_schwa","492813"
"70","492813_blockNr_1_taskNr_4_trialNr_21_french_recording","pof","french","p_o","492813"
"71","492813_blockNr_1_taskNr_4_trialNr_22_french_recording","pof","french","p_o","492813"
"72","492813_blockNr_1_taskNr_4_trialNr_23_french_recording","pif","french","p_i","492813"
"73","492813_blockNr_1_taskNr_6_trialNr_1_english_recording","poof","english","p_u","492813"
"74","492813_blockNr_1_taskNr_6_trialNr_2_english_recording","puff","english","p_schwa","492813"
"75","492813_blockNr_1_taskNr_6_trialNr_3_english_recording","poff","english","p_o","492813"
"76","492813_blockNr_1_taskNr_6_trialNr_6_english_recording","poff","english","p_o","492813"
"77","492813_blockNr_1_taskNr_6_trialNr_8_english_recording","poff","english","p_o","492813"
"78","492813_blockNr_1_taskNr_6_trialNr_10_english_recording","peef","english","p_i","492813"
"79","492813_blockNr_1_taskNr_6_trialNr_11_english_recording","poof","english","p_u","492813"
"80","492813_blockNr_1_taskNr_6_trialNr_13_english_recording","puff","english","p_schwa","492813"
"81","492813_blockNr_1_taskNr_6_trialNr_15_english_recording","poof","english","p_u","492813"
"82","492813_blockNr_1_taskNr_6_trialNr_20_english_recording","puff","english","p_schwa","492813"
"83","492813_blockNr_1_taskNr_6_trialNr_21_english_recording","peef","english","p_i","492813"
"84","492813_blockNr_1_taskNr_6_trialNr_24_english_recording","peef","english","p_i","492813"
"85","492813_blockNr_1_taskNr_7_trialNr_2_spanish_recording","puf","spanish","p_u","492813"
"86","492813_blockNr_1_taskNr_7_trialNr_4_spanish_recording","puf","spanish","p_u","492813"
"87","492813_blockNr_1_taskNr_7_trialNr_6_spanish_recording","pif","spanish","p_i","492813"
"88","492813_blockNr_1_taskNr_7_trialNr_9_spanish_recording","pof","spanish","p_o","492813"
"89","492813_blockNr_1_taskNr_7_trialNr_10_spanish_recording","pif","spanish","p_i","492813"
"90","492813_blockNr_1_taskNr_7_trialNr_11_spanish_recording","paf","spanish","p_a","492813"
"91","492813_blockNr_1_taskNr_7_trialNr_13_spanish_recording","paf","spanish","p_a","492813"
"92","492813_blockNr_1_taskNr_7_trialNr_16_spanish_recording","pof","spanish","p_o","492813"
"93","492813_blockNr_1_taskNr_7_trialNr_18_spanish_recording","puf","spanish","p_u","492813"
"94","492813_blockNr_1_taskNr_7_trialNr_20_spanish_recording","pif","spanish","p_i","492813"
"95","492813_blockNr_1_taskNr_7_trialNr_21_spanish_recording","paf","spanish","p_a","492813"
"96","492813_blockNr_1_taskNr_7_trialNr_22_spanish_recording","pof","spanish","p_o","492813"
"97","492814_blockNr_1_taskNr_3_trialNr_1_french_recording","pif","french","p_i","492814"
"98","492814_blockNr_1_taskNr_3_trialNr_2_french_recording","paf","french","p_schwa","492814"
"99","492814_blockNr_1_taskNr_3_trialNr_3_french_recording","pif","french","p_i","492814"
"100","492814_blockNr_1_taskNr_3_trialNr_4_french_recording","pof","french","p_o","492814"
"101","492814_blockNr_1_taskNr_3_trialNr_5_french_recording","puf","french","p_u","492814"
