the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pake,1,0,4.556,0,0,0,28,1,conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pake,1,0,2.276,0,1,1,30,1,conditions/german/pisch_5_3.wav,conditions/german/fisch_5_3.wav,conditions/german/pake_5_3.wav,conditions/german/pike_5_3.wav,31,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pisch,1,0,2.105,0,2,2,17,1,conditions/german/pisch_3_4.wav,conditions/german/fisch_3_4.wav,conditions/german/pake_3_4.wav,conditions/german/pike_3_4.wav,18,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
fisch,1,0,1.853,0,3,3,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
fisch,1,0,1.551,0,4,4,25,1,conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pake,1,0,1.819,0,5,5,19,1,conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pake,1,0,1.825,0,6,6,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pisch,0,1,2.854,0,7,7,3,1,conditions/german/pisch_1_4.wav,conditions/german/fisch_1_4.wav,conditions/german/pake_1_4.wav,conditions/german/pike_1_4.wav,4,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
pake,1,0,2.188,0,8,8,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
fisch,1,0,1.475,0,9,9,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,5bcc60b95c2b810001dc68e2,Mexican Spanish,2022-03-29_06h39.35,german,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,
