the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pike,1,0,2.4245,0,0,0,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pisch,1,1,2.1117,0,1,1,16,1,conditions/german/pisch_3_3.wav,conditions/german/fisch_3_3.wav,conditions/german/pake_3_3.wav,conditions/german/pike_3_3.wav,17,1,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pake,1,0,1.9517,0,2,2,1,1,conditions/german/pisch_1_2.wav,conditions/german/fisch_1_2.wav,conditions/german/pake_1_2.wav,conditions/german/pike_1_2.wav,2,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
fisch,1,0,1.9932,0,3,3,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pike,0,1,1.994,0,4,4,43,1,conditions/german/pisch_7_2.wav,conditions/german/fisch_7_2.wav,conditions/german/pake_7_2.wav,conditions/german/pike_7_2.wav,44,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pake,1,1,1.9732,0,5,5,48,1,conditions/german/pisch_7_7.wav,conditions/german/fisch_7_7.wav,conditions/german/pake_7_7.wav,conditions/german/pike_7_7.wav,49,1,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
fisch,1,0,3.5372,0,6,6,6,1,conditions/german/pisch_1_7.wav,conditions/german/fisch_1_7.wav,conditions/german/pake_1_7.wav,conditions/german/pike_1_7.wav,7,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pake,1,0,1.9928,0,7,7,41,1,conditions/german/pisch_6_7.wav,conditions/german/fisch_6_7.wav,conditions/german/pake_6_7.wav,conditions/german/pike_6_7.wav,42,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pisch,1,0,1.9563,0,8,8,30,1,conditions/german/pisch_5_3.wav,conditions/german/fisch_5_3.wav,conditions/german/pake_5_3.wav,conditions/german/pike_5_3.wav,31,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
fisch,1,0,1.8548,0,9,9,19,1,conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
pake,1,0,2.3256,0,10,10,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,5a6d5ae19d65ec00017e9bae,Latin American,2022-04-02_11h53.50.400,german,2021.2.3,Linux x86_64,59.95922773,,,,,,,,,,,,,,,
