key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,2.4179,space,14.4149,7,30.5172,3.998968008,8.4336,0,0,0,4,1,stim/fof_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,6,15.3023,2.987616099,3.8689,0,1,1,2,1,stim/peuf_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,6,5.0005,5,3.9246,0,2,2,7,1,stim/f_schwa_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,4,2.7361,5,0.7724,0,3,3,0,1,stim/pof_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,1,9.3928,1.996904025,1.8167,0,4,4,3,1,stim/p_schwa_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,6,2.4415,4.011351909,1.1417,0,5,5,6,1,stim/feuf_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,3,7.0833,3.990712074,1.1838,0,6,6,1,1,stim/pief_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,3,4.1593,2.979360165,1.6885,0,7,7,5,1,stim/fief_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,3,2.8168,2.979360165,0.5924,1,0,8,5,1,stim/fief_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,6,7.6071,2.009287926,1.2882,1,1,9,3,1,stim/p_schwa_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,4,2.2884,2.979360165,1.2665,1,2,10,4,1,stim/fof_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,2,3.7375,3.012383901,1.3876,1,3,11,7,1,stim/f_schwa_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,4,5.3408,3,2.4601,1,4,12,6,1,stim/feuf_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
,,,,3,8.6305,3,0.6829,1,5,13,1,1,stim/pief_g.wav,5bef41fa54277d000114d6ad,001,2022-03-18_15h43.30.838,task,2021.2.3,Win32,60.0528465,,,,,,,,,,,,,
