key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
1,2.7367,space,11.1831,4,11.5555,2.951851852,3.7396,0,0,0,6,1,stim/feuf_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,3,5.5358,3.011111111,4.1444,0,1,1,1,1,stim/pief_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,1,7.772,3.037037037,1.4884,0,2,2,7,1,stim/f_schwa_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,3,2.7929,3.988888889,0.8303,0,3,3,5,1,stim/fief_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,3,3.343,2.007407407,1.8287,0,4,4,0,1,stim/pof_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,2,0.0007,2.007407407,1.6685,0,5,5,4,1,stim/fof_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,6,7.0457,2.992592593,2.5427,0,6,6,2,1,stim/peuf_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,1,8.9321,4.018518519,2.4082,0,7,7,3,1,stim/p_schwa_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,3,4.8568,2.944444444,1.9958,1,0,8,5,1,stim/fief_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,1,4.947,2.959259259,1.7144,1,1,9,3,1,stim/p_schwa_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,4,2.8106,3.725925926,2.8,1,2,10,4,1,stim/fof_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,2,2.2986,2.981481481,0.7905,1,3,11,7,1,stim/f_schwa_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,3,4.0329,2.67037037,1.0961,1,4,12,1,1,stim/pief_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
,,,,4,4.0092,3.466666667,1.0136,1,5,13,2,1,stim/peuf_g.wav,601e1253bbecc3279e4fb472,001,2022-03-15_21h34.53.270,task,2021.2.3,Win32,29.43860579,,,,,,,,,,,,,
