"","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1","60e1d5f866e681d7e33fd01c","20+","20+",2,3
"2","5ffe6b8b773ec452c1d28adc","11","17",4,4
"3","5c2fae74d76cde0001c11590","13","20+",4,4
"4","6125b040ffa3c0b9e67b92c9","18","20+",5,5
"5","5e27868c5cbbcc0b3599574b","13","13",5,5
"6","565a4547c51d43000587507d","14","17",3,4
"7","60c24c8ec01a8596ba5c8b85","18","20+",6,6
"8","601e1253bbecc3279e4fb472","15","18",4,5
"9","60121fca666552254559110d","10","15",4,5
"10","5bebd4111296920001d55c5a","14","20+",6,6
"11","610cb2e82784ac6af6469fc5","12","18",5,5
"12","5f9057735c69b00e72665f84","12","17",4,4
"13","5fed41e3e14422f5e308c6e5","14","18",5,5
"14","5dc483cf74939e34e55c3619","20+","20+",4,5
"15","60b7f09a4462d1d1aa6bbcf6","5","13",3,4
"16","5ff5f7ad932d56101bf7c90d","12","18",6,5
"17","61132361275e08754e30c2db","7","14",4,4
"18","5a08ddd0df3fa800015c36ac","11","18",2,3
"19","59349d79f1b3f00001964d04","14","18",4,4
"20","5bcc60b95c2b810001dc68e2","17","20+",3,3
"21","5898b6e256357700011c2c6b","20+","20+",5,5
"22","60bc18bb8b971280ef13060c","13","20+",4,4
"23","58477607f1b9b3000192bb01","13","20+",3,4
"24","558a9729fdf99b6567d005ab","15","17",4,4
"25","5fa4c21a04bc5912180291bc","13","20+",4,2
"26","60fd444309e999dd905f78f8","13","16",3,3
"27","5a6d5ae19d65ec00017e9bae","14","15",3,4
"28","5f9b6cc0e01ad13902b38f60","20+","20+",3,3
"29","612f152f7d455625729c73b7","6","16",4,6
"30","61115d821fe239854dfcdf13","12","18",4,5
"31","5dd733664524e76dc4537fe2","13","20+",5,4
"32","5d3a11cec4066e00151de801","8","19",6,6
"33","60ff89c17658f2b2015321c0","8","17",5,5
"34","606a4e5bdd2653423459653a","18","19",3,3
