"","X","f1e","f2e","language","participant","text","group","consonant","phoneme","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1",1,378.09,1937.08,"french",509313,"fuf","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"2",2,547.23,1554.66,"french",509313,"fof","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"3",3,330.68,2600.55,"french",509313,"pif","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"4",4,509.45,1524.38,"french",509313,"pof","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"5",5,581.87,1813.96,"french",509313,"paf","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"6",6,292.4,2366.84,"french",509313,"pif","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"7",7,545.06,1794.9,"french",509313,"paf","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"8",8,679.34,1678.47,"french",509313,"faf","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"9",9,730.12,1492.2,"french",509313,"pof","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"10",10,410.9,1952.96,"french",509313,"puf","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"11",11,579.73,1198.87,"french",509313,"fof","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"12",12,304.31,2494.42,"french",509313,"fif","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"13",13,846.98,2074.77,"french",509313,"puf","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"14",14,325.5,2359.16,"french",509313,"pif","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"15",15,387.19,1976.85,"french",509313,"fuf","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"16",16,576.12,1704.84,"french",509313,"faf","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"17",17,581.76,1506.29,"french",509313,"pof","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"18",18,724.88,1556.36,"french",509313,"paf","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"19",19,424.16,1790.15,"french",509313,"puf","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"20",20,562.98,1841.53,"french",509313,"fuf","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"21",21,722.81,1473.72,"french",509313,"fof","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"22",22,283.74,2119.02,"french",509313,"fif","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"23",23,732.38,1721.22,"french",509313,"faf","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"24",24,333.65,2550.63,"french",509313,"fif","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"25",25,731.07,1128.82,"German",509313,"paf","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"26",26,565.25,1788.47,"German",509313,"fuf","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"27",27,334.1,2029.08,"German",509313,"fif","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"28",28,328.25,1729.75,"German",509313,"fuf","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
