"","participant","stim","resp","language","slider_2.response","phoneme","frame"
"1","558a9729fdf99b6567d005ab","stim/fif_f.wav","fin_span","french",4.033333333,"i","fricative"
"2","558a9729fdf99b6567d005ab","stim/feuf_f.wav","fool_eng","french",4.007407633,"y","fricative"
"3","558a9729fdf99b6567d005ab","stim/p_schwa_f.wav","fun_eng","french",4.011111111,"schwa","bilabial"
"4","558a9729fdf99b6567d005ab","stim/pif_f.wav","fin_span","french",3.988888889,"i","bilabial"
"5","558a9729fdf99b6567d005ab","stim/f_schwa_f.wav","fun_eng","french",3.911111111,"schwa","fricative"
"6","558a9729fdf99b6567d005ab","stim/pof_f.wav","fun_eng","french",4.066666667,"o","bilabial"
"7","558a9729fdf99b6567d005ab","stim/peuf_f.wav","fool_eng","french",3.025926039,"y","bilabial"
"8","558a9729fdf99b6567d005ab","stim/fof_f.wav","fun_eng","french",3.940740967,"o","fricative"
"9","558a9729fdf99b6567d005ab","stim/fif_f.wav","feel_eng","french",4.025926039,"i","fricative"
"10","558a9729fdf99b6567d005ab","stim/pif_f.wav","feel_eng","french",3.988888889,"i","bilabial"
"11","558a9729fdf99b6567d005ab","stim/f_schwa_f.wav","fun_eng","french",3.966666667,"schwa","fricative"
"12","558a9729fdf99b6567d005ab","stim/fof_f.wav","fun_eng","french",3.988888889,"o","fricative"
"13","558a9729fdf99b6567d005ab","stim/peuf_f.wav","su_span","french",4.011111111,"y","bilabial"
"14","558a9729fdf99b6567d005ab","stim/pof_f.wav","fun_eng","french",3.951852078,"o","bilabial"
"15","558a9729fdf99b6567d005ab","stim/feuf_f.wav","fool_eng","french",4.918518745,"y","fricative"
"16","558a9729fdf99b6567d005ab","stim/p_schwa_f.wav","fun_eng","french",4.007407633,"schwa","bilabial"
"17","558a9729fdf99b6567d005ab","stim/fof_f.wav","fun_eng","french",4.007407633,"o","fricative"
"18","558a9729fdf99b6567d005ab","stim/pof_f.wav","fun_eng","french",3.962963189,"o","bilabial"
"19","558a9729fdf99b6567d005ab","stim/fif_f.wav","feel_eng","french",4.011111111,"i","fricative"
"20","558a9729fdf99b6567d005ab","stim/feuf_f.wav","su_span","french",4.925926039,"y","fricative"
"21","558a9729fdf99b6567d005ab","stim/f_schwa_f.wav","fun_eng","french",3.996296522,"schwa","fricative"
"22","558a9729fdf99b6567d005ab","stim/pif_f.wav","fin_span","french",4.996296522,"i","bilabial"
"23","558a9729fdf99b6567d005ab","stim/p_schwa_f.wav","fun_eng","french",3.996296522,"schwa","bilabial"
"24","558a9729fdf99b6567d005ab","stim/peuf_f.wav","su_span","french",4.925926039,"y","bilabial"
"25","558a9729fdf99b6567d005ab","stim/pof_f.wav","fun_eng","french",3.966666667,"o","bilabial"
"26","558a9729fdf99b6567d005ab","stim/fif_f.wav","feel_eng","french",3.992592706,"i","fricative"
"27","558a9729fdf99b6567d005ab","stim/p_schwa_f.wav","fun_eng","french",3.985185411,"schwa","bilabial"
"28","558a9729fdf99b6567d005ab","stim/feuf_f.wav","fool_eng","french",4.014814928,"y","fricative"
"29","558a9729fdf99b6567d005ab","stim/f_schwa_f.wav","fun_eng","french",4.096296522,"schwa","fricative"
"30","558a9729fdf99b6567d005ab","stim/pif_f.wav","feel_eng","french",3.996296522,"i","bilabial"
"31","558a9729fdf99b6567d005ab","stim/peuf_f.wav","fool_eng","french",4,"y","bilabial"
"32","558a9729fdf99b6567d005ab","stim/fof_f.wav","fun_eng","french",4.877777778,"o","fricative"
"33","558a9729fdf99b6567d005ab","stim/fif_f.wav","fin_span","french",4.011111111,"i","fricative"
"34","558a9729fdf99b6567d005ab","stim/pif_f.wav","fin_span","french",3.988888889,"i","bilabial"
"35","558a9729fdf99b6567d005ab","stim/p_schwa_f.wav","fun_eng","french",4.970370483,"schwa","bilabial"
"36","558a9729fdf99b6567d005ab","stim/fof_f.wav","fun_eng","french",4.962963189,"o","fricative"
"37","558a9729fdf99b6567d005ab","stim/f_schwa_f.wav","fun_eng","french",4.914814928,"schwa","fricative"
"38","558a9729fdf99b6567d005ab","stim/feuf_f.wav","su_span","french",4.029629856,"y","fricative"
"39","558a9729fdf99b6567d005ab","stim/peuf_f.wav","fool_eng","french",3.996296522,"y","bilabial"
"40","558a9729fdf99b6567d005ab","stim/pof_f.wav","fun_eng","french",4.9740743,"o","bilabial"
"41","565a4547c51d43000587507d","stim/p_schwa_f.wav","fin_span","french",2.577235772,"schwa","bilabial"
"42","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.029268293,"schwa","fricative"
"43","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",3.019512195,"y","bilabial"
"44","565a4547c51d43000587507d","stim/pif_f.wav","fin_span","french",1.985365854,"i","bilabial"
"45","565a4547c51d43000587507d","stim/fif_f.wav","fin_span","french",2.043902439,"i","fricative"
"46","565a4547c51d43000587507d","stim/feuf_f.wav","su_span","french",1.965853659,"y","fricative"
"47","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",1.998373984,"o","fricative"
"48","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",1.972357724,"o","bilabial"
"49","565a4547c51d43000587507d","stim/fif_f.wav","fin_span","french",3,"i","fricative"
"50","565a4547c51d43000587507d","stim/feuf_f.wav","fool_eng","french",2.993495935,"y","fricative"
"51","565a4547c51d43000587507d","stim/pif_f.wav","feel_eng","french",3,"i","bilabial"
"52","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.035772358,"schwa","fricative"
"53","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",1.055284553,"o","fricative"
"54","565a4547c51d43000587507d","stim/p_schwa_f.wav","fought_eng","french",1.074796748,"schwa","bilabial"
"55","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",2.993495935,"y","bilabial"
"56","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",3.032520325,"o","bilabial"
