key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
2,23.375,space,53.804,2,20.505,4.982222222,15.913,0,0,0,7,1,stim/f_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,3,24.603,3.991111111,4.978,0,1,1,1,1,stim/pief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,7,15.031,2.013333333,7.386,0,2,2,5,1,stim/fief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,6.884,4.004444444,1.634,0,3,3,3,1,stim/p_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,6.695,2.733333333,2.037,0,4,4,6,1,stim/feuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,12.018,2.502222222,15.473,0,5,5,2,1,stim/peuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,13.592,3.031111111,7.797,0,6,6,4,1,stim/fof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,5.436,3.053333333,1.405,0,7,7,0,1,stim/pof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,14.866,2.017777778,2.616,1,0,8,7,1,stim/f_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,3,5.554,2.568888889,1.619,1,1,9,1,1,stim/pief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,5.592,2.991111111,3.629,1,2,10,6,1,stim/feuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,7.332,2.995555556,2.114,1,3,11,0,1,stim/pof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,3.568,3.026666667,1.164,1,4,12,4,1,stim/fof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,3,3.102,3.546666667,1.991,1,5,13,5,1,stim/fief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,16.958,2.355555556,1.488,1,6,14,2,1,stim/peuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,4.468,3.017777778,1.439,1,7,15,3,1,stim/p_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,8.349,3.271111111,1.431,2,0,16,0,1,stim/pof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,45.064,2.582222222,1.951,2,1,17,4,1,stim/fof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,3,3.915,3.973333333,1.972,2,2,18,5,1,stim/fief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,4.544,4,1.22,2,3,19,3,1,stim/p_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,3,3.051,4,0.603,2,4,20,1,1,stim/pief_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,36.858,4,1.607,2,5,21,2,1,stim/peuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,6,9.716,4,1.138,2,6,22,6,1,stim/feuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,2.979,4.026666667,0.722,2,7,23,7,1,stim/f_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,16.233,3.626666667,1.614,3,0,24,0,1,stim/pof_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,2,3.094,4.017777778,1.581,3,1,25,3,1,stim/p_schwa_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
,,,,4,15.247,4.017777778,0.595,3,2,26,2,1,stim/peuf_g.wav,614413848bec31a0e770cc25,001,2022-03-18_11h29.14.860,span_vct,2021.2.3,MacIntel,500,,,,,,,,,,,,,
