key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
2,3.1492,space,47.2286,4,21.9123,2.985185129,2.9489,0,0,0,2,1,stim/peuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,4.874,3.96666661,1.706,0,1,1,6,1,stim/feuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,5.1966,3.996296353,1.8443,0,2,2,5,1,stim/fief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,6.5274,3.014814871,2.4814,0,3,3,7,1,stim/f_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,6.347,2.051851908,2.2834,0,4,4,1,1,stim/pief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,2.6138,3.977777834,1.7431,0,5,5,4,1,stim/fof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,4.3874,2.96666661,1.5874,0,6,6,0,1,stim/pof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,11.1008,1.962962963,1.5712,0,7,7,3,1,stim/p_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,7.2822,2,1.2688,1,0,8,6,1,stim/feuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,13.768,1.988889058,1.4533,1,1,9,3,1,stim/p_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,12.4014,2.062963133,1.4658,1,2,10,2,1,stim/peuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,3.9894,2.992592706,1.8846,1,3,11,1,1,stim/pief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,16.4731,2.022222166,1.9568,1,4,12,7,1,stim/f_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,12.4481,2.962962963,1.6904,1,5,13,0,1,stim/pof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,2.8675,4.055555556,1.8234,1,6,14,4,1,stim/fof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,2.4394,3.03333339,1.8603,1,7,15,5,1,stim/fief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,2.7135,2.988889058,1.2794,2,0,16,5,1,stim/fief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,4.0881,2.029629743,1.6113,2,1,17,7,1,stim/f_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,3.7463,2.985185129,1.8367,2,2,18,2,1,stim/peuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,15.145,2.037037037,9.1285,2,3,19,0,1,stim/pof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,2.0335,3.977777834,1.907,2,4,20,4,1,stim/fof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,2.6652,4.014814871,1.1801,2,5,21,6,1,stim/feuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,9.1089,2.114814758,1.8149,2,6,22,1,1,stim/pief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,9.6963,2.014814871,1.5769,2,7,23,3,1,stim/p_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,2.2361,3.974074187,1.6268,3,0,24,4,1,stim/fof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,4.9302,2.011111224,1.8824,3,1,25,2,1,stim/peuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,3.3634,2.962962963,2.5176,3,2,26,6,1,stim/feuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,5.073,1.985185129,1.4181,3,3,27,0,1,stim/pof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,2.3391,1.985185129,1.5984,3,4,28,7,1,stim/f_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,14.2405,2.040740684,1.493,3,5,29,1,1,stim/pief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,14.217,1.066666638,1.4495,3,6,30,3,1,stim/p_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,2.2078,2,1.7931,3,7,31,5,1,stim/fief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,1.7466,1.992592706,2.4031,4,0,32,5,1,stim/fief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,3,27.8138,1.97037054,1.1442,4,1,33,1,1,stim/pief_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,2.6678,3.022222166,1.6718,4,2,34,2,1,stim/peuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,4,1.7664,4.022222166,1.587,4,3,35,6,1,stim/feuf_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,4.5546,2.137037207,1.6413,4,4,36,4,1,stim/fof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,1,7.5739,1.100000028,4.0298,4,5,37,3,1,stim/p_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,3.1622,2.022222166,1.6053,4,6,38,0,1,stim/pof_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,2,2.6277,1.988889058,1.3901,4,7,39,7,1,stim/f_schwa_g.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,,
,,,,,,,,,,,,,stim/feuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,space,81.2912,2,4.3558,1.948148092,1.8067,0,0,0,6,1,,
,,,,,,,,,,,,,stim/fof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.4382,4.048148261,1.7918,0,1,1,4,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,7.4395,2.055555556,1.8612,0,2,2,2,1,,
,,,,,,,,,,,,,stim/pof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,6.8359,2.940740797,2.3028,0,3,3,0,1,,
,,,,,,,,,,,,,stim/fif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,2.3503,3.048148261,2.2759,0,4,4,5,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,11.7847,2.97037054,1.6358,0,5,5,3,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,7,4.4321,2.981481481,2.0136,0,6,6,7,1,,
,,,,,,,,,,,,,stim/pif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,7,3.7262,3.055555556,1.8785,0,7,7,1,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,7,3.7041,3.933333503,1.4812,1,0,8,7,1,,
,,,,,,,,,,,,,stim/pif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,4.7669,2.944444444,1.5398,1,1,9,1,1,,
,,,,,,,,,,,,,stim/pof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,4.0847,3.03333339,1.4821,1,2,10,0,1,,
,,,,,,,,,,,,,stim/fif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,3.4978,3,4.7882,1,3,11,5,1,,
,,,,,,,,,,,,,stim/fof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.9694,2.896296466,8.3678,1,4,12,4,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,10.1561,2.985185129,1.1054,1,5,13,2,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,6.0166,1.900000113,2.1299,1,6,14,3,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.74,4.011111224,2.0559,1,7,15,6,1,,
,,,,,,,,,,,,,stim/pof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,7.5257,2.97037054,1.3734,2,0,16,0,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.1335,3.029629743,1.3542,2,1,17,7,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,40.9782,1.944444444,1.7119,2,2,18,2,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,3.3593,3.014814871,1.9278,2,3,19,6,1,,
,,,,,,,,,,,,,stim/fof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.0851,4.048148261,1.7064,2,4,20,4,1,,
,,,,,,,,,,,,,stim/fif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,2.0707,3.029629743,1.5905,2,5,21,5,1,,
,,,,,,,,,,,,,stim/pif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,7,5.5759,2.048148261,1.639,2,6,22,1,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,1,6.8989,1.974074187,1.1231,2,7,23,3,1,,
,,,,,,,,,,,,,stim/fof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.2371,3.055555556,1.5029,3,0,24,4,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,1,7.2034,1.959259316,1.9193,3,1,25,3,1,,
,,,,,,,,,,,,,stim/pif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,2.9165,2.511111224,2.5506,3,2,26,1,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,3.5069,2.951852021,1.5529,3,3,27,7,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,17.5315,3.011111224,1.5267,3,4,28,2,1,,
,,,,,,,,,,,,,stim/pof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,5.374,4.09629624,1.5394,3,5,29,0,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,3.8934,3.988889058,1.9728,3,6,30,6,1,,
,,,,,,,,,,,,,stim/fif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,2.6044,4.022222166,1.9895,3,7,31,5,1,,
,,,,,,,,,,,,,stim/fof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.1674,4,1.4902,4,0,32,4,1,,
,,,,,,,,,,,,,stim/pif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,3.2492,3.040740684,2.3155,4,1,33,1,1,,
,,,,,,,,,,,,,stim/fif_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,2.3062,4.029629743,1.7399,4,2,34,5,1,,
,,,,,,,,,,,,,stim/f_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,2.466,3.96666661,2.0819,4,3,35,7,1,,
,,,,,,,,,,,,,stim/p_schwa_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,2,5.4537,3.051851908,1.472,4,4,36,3,1,,
,,,,,,,,,,,,,stim/feuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,4,3.7178,4.040740684,1.4177,4,5,37,6,1,,
,,,,,,,,,,,,,stim/pof_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,1,4.2982,3.985185129,1.9883,4,6,38,0,1,,
,,,,,,,,,,,,,stim/peuf_f.wav,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,3,32.1595,2.951852021,1.2789,4,7,39,2,1,,
,,,,,,,,,,,,,,Jorge,001,2022-03-17_18h38.37.630,span_vct,2021.2.3,Win32,59.53798523,,,,,,,,,,,,space,24.0871
