key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_6.keys,key_resp_6.rt
2,4.0405,space,180.0582,1,8.7499,2.985057891,8.1273,0,0,0,6,1,stim/feuf_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,2,5.449,3.963263547,2.2583,0,1,1,4,1,stim/fof_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,1,6.999,2.039128648,1.5951,0,2,2,3,1,stim/p_schwa_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,4,3.4426,4.0798947,1.9302,0,3,3,1,1,stim/pief_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,7,4.1199,3.721467183,1.8819,0,4,4,5,1,stim/fief_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,6,4.7338,2.385274358,1.7605,0,5,5,2,1,stim/peuf_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,5,4.4211,2.181443779,1.1966,0,6,6,0,1,stim/pof_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,2,1.8106,4.725597442,1.6562,0,7,7,7,1,stim/f_schwa_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,2,1.9828,4.725597442,0.8061,1,0,8,7,1,stim/f_schwa_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,3,3.4231,3.620649567,1.4294,1,1,9,1,1,stim/pief_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,4,2.8665,3.620649567,0.756,1,2,10,2,1,stim/peuf_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,3,3.6535,3.96645495,0.971,1,3,11,5,1,stim/fief_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,4,3.7556,2.491074487,1.5297,1,4,12,3,1,stim/p_schwa_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,5,4.805,3.992999811,1.3474,1,5,13,0,1,stim/pof_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,7,2.8859,4.47531815,1.1429,1,6,14,6,1,stim/feuf_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,2,2.0332,4.072795449,1.239,1,7,15,4,1,stim/fof_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,2,1.5207,4.341213686,1.2897,2,0,16,4,1,stim/fof_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,3,2.7515,3.781343949,1.2409,2,1,17,1,1,stim/pief_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,5,3.2902,4.139346777,1.2258,2,2,18,3,1,stim/p_schwa_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
,,,,1,4.3057,2.234551395,1.9123,2,3,19,2,1,stim/peuf_g.wav,,001,2022-03-17_16h25.21.734,span_vct,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,
