key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,key_resp.rt
space,7.6065,p,4.5252,1.988888847,2.6852,0,0,0,1,1,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,,,,,,,,,,,
,,q,4.2632,2.011111153,3.6514,0,1,1,0,1,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,,,,,,,,,,,
,,,,,,,,,,,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,space,1.3805,p,3.9716,3.038889143,1.3064,0,0,0,1,1,,
,,,,,,,,,,,stim/sus.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,p,3.7793,4.95555581,0.8911,0,1,1,2,1,,
,,,,,,,,,,,stim/sys.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,3.1001,3.127777947,0.8527,0,2,2,3,1,,
,,,,,,,,,,,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,3.1921,3.066666921,0.8599,0,3,3,0,1,,
,,,,,,,,,,,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,v,1.9118,3.949999915,1.0444,1,0,4,1,1,,
,,,,,,,,,,,stim/sys.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,z,2.5556,4.011111365,0.9187,1,1,5,3,1,,
,,,,,,,,,,,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,z,2.428,5.133333418,0.6732,1,2,6,0,1,,
,,,,,,,,,,,stim/sus.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,4.0841,2.038888931,0.9943,1,3,7,2,1,,
,,,,,,,,,,,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,v,1.5931,4.094444699,0.7193,2,0,8,1,1,,
,,,,,,,,,,,stim/sus.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,p,2.2672,4.972222222,0.6787,2,1,9,2,1,,
,,,,,,,,,,,stim/sys.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,1.9331,2.144444572,0.7202,2,2,10,3,1,,
,,,,,,,,,,,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,4.3971,2.022222307,0.9351,2,3,11,0,1,,
,,,,,,,,,,,stim/sys.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,y,3.5375,2.944444444,0.6931,3,0,12,3,1,,
,,,,,,,,,,,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,y,1.2852,2.922222137,0.5681,3,1,13,0,1,,
,,,,,,,,,,,stim/sus.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,z,1.2831,2.949999915,0.943,3,2,14,2,1,,
,,,,,,,,,,,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,g,1.3677,4.972222222,0.5877,3,3,15,1,1,,
,,,,,,,,,,,stim/sus.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,y,0.9776,4.011111365,0.5384,4,0,16,2,1,,
,,,,,,,,,,,stim/sos.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,q,1.3267,4.944444444,0.8432,4,1,17,1,1,,
,,,,,,,,,,,stim/sys.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,p,1.2,5.061111026,0.6999,4,2,18,3,1,,
,,,,,,,,,,,stim/sis.wav,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,z,1.6179,3.016666836,0.6708,4,3,19,0,1,,
,,,,,,,,,,,,60b322994d0b901954690036,001,2021-10-26_18h33.57.185,phoneme_categorization_task,2021.2.3,Win32,61.7512659,,,,,,,,,,,,space,5.1961
